,feature,importance,fold
0,adC2,5488.5,1
1,adC3,6252.0,1
2,adC1,5293.5,1
3,mulliken_atom_0,5298.142857142857,1
4,mulliken_atom_1,4860.142857142857,1
5,adC4,5088.5,1
6,cos_c0_f0,4524.071428571428,1
7,adH1,6170.928571428572,1
8,adN1,5136.285714285715,1
9,linkM0,5530.142857142857,1
10,linkM1,5528.571428571428,1
11,distC0,4274.642857142857,1
12,vander_O.y,2915.6428571428573,1
13,bond_angle_plane,5566.071428571428,1
14,inv_dist1R,2541.285714285714,1
15,max_molecule_atom_0_dist_xyz,3440.1428571428573,1
16,cos_center1,3272.3571428571427,1
17,yukawa_O.y,2240.285714285714,1
18,cos_f0,1303.0,1
19,yukawa_O.x,2750.5,1
20,cos_c0_c1,4350.857142857143,1
21,flatness_metric,4795.428571428572,1
22,cos_f0_f1,4493.857142857143,1
23,freqs_min,5258.857142857143,1
24,gap,4379.357142857143,1
25,cos_f1,3970.0714285714284,1
26,vander_O.x,2112.1428571428573,1
27,cos_center0,3252.6428571428573,1
28,homo,5095.357142857143,1
29,molecule_atom_index_0_dist_max_div,3211.1428571428573,1
30,mulliken_max,5174.357142857143,1
31,lumo,4165.142857142857,1
32,adH2,3544.5714285714284,1
33,inv_distPR,2003.642857142857,1
34,rc_A,5506.0,1
35,bond_angle_axis,5170.214285714285,1
36,dist_H_1_x,3793.0714285714284,1
37,rc_C,3847.5,1
38,inv_dist0R,2504.8571428571427,1
39,cos_c1_f1,3416.5,1
40,distC1,3510.5,1
41,dist_C_4_y,5827.0,1
42,cos_center0_center1,3646.785714285714,1
43,min_molecule_atom_1_dist_xyz,2820.0714285714284,1
44,dist_O_0_x,6152.642857142857,1
45,dist_H_2_x,4248.571428571428,1
46,dist_H_0_y,4041.785714285714,1
47,inv_dist1,3002.8571428571427,1
48,yukawa_C.y,2676.5,1
49,yukawa_C.x,3260.1428571428573,1
50,distance_center1,3778.0,1
51,dist_C_4_x,4795.357142857143,1
52,dist_H_4_x,4924.357142857143,1
53,dist_C_3_y,4637.285714285715,1
54,mu,4852.642857142857,1
