,feature,importance,fold
0,cos_c0_c1,4074.0714285714284,1
1,adC4,5319.214285714285,1
2,gap,3914.3571428571427,1
3,adH1,6832.5,1
4,distance_closest_1,4346.428571428572,1
5,adC3,4383.642857142857,1
6,cos_c1_f1,4326.428571428572,1
7,cos_c0_f0,4264.428571428572,1
8,cos_c1,3634.0,1
9,cos_c0,3656.5714285714284,1
10,adC2,3966.1428571428573,1
11,cos_f1,4172.928571428572,1
12,max_distance_y,4682.857142857143,1
13,cos_f0_f1,4523.785714285715,1
14,cos_f0,4445.357142857143,1
15,linkM0,5479.642857142857,1
16,dist_O_0_y,5318.714285714285,1
17,mulliken_atom_1,4548.571428571428,1
18,dist_O_0_x,5235.714285714285,1
19,bond_angle_plane,6811.428571428572,1
20,lumo,3842.8571428571427,1
21,bond_angle_axis,6269.571428571428,1
22,homo,4547.0,1
23,rc_A,4657.071428571428,1
24,max_molecule_atom_0_dist_xyz,4132.214285714285,1
25,yukawa_C.y,3376.5,1
26,vander_C.y,3304.214285714286,1
27,freqs_min,4538.357142857143,1
28,dist_C_4_x,4926.928571428572,1
29,distH0,3798.4285714285716,1
30,adN1,2647.4285714285716,1
31,mulliken_max,4857.928571428572,1
32,dist_C_4_y,5038.214285714285,1
33,mulliken_atom_0,4628.785714285715,1
34,dist_H_4_y,4777.571428571428,1
35,dist_C_3_y,4170.928571428572,1
36,yukawa_O.y,2596.8571428571427,1
37,dist_H_0_y,3615.8571428571427,1
38,yukawa_O.x,3502.6428571428573,1
39,dist_H_4_x,4767.285714285715,1
40,dist_H_3_y,4162.642857142857,1
41,mean_molecule_atom_0_dist_xyz,4421.285714285715,1
42,flatness_metric,4181.928571428572,1
43,dist_H_1_y,3633.1428571428573,1
44,dist_H_3_x,4211.785714285715,1
45,mu,4691.642857142857,1
46,rc_B,3484.3571428571427,1
47,dist_H_2_y,3816.285714285714,1
48,molecule_type_dist_max,3957.5,1
49,linkM1,4434.428571428572,1
50,molecule_dist_min,4040.714285714286,1
51,max_molecule_atom_1_dist_xyz,3417.4285714285716,1
52,molecule_atom_1_dist_min,4235.357142857143,1
53,vander_O.y,1789.857142857143,1
54,cos_center0_center1,4891.5,1
55,molecule_atom_index_1_dist_std_diff,7667.785714285715,1
56,freqs_max,4180.357142857143,1
57,distH1,5195.785714285715,1
58,rc_C,3369.0,1
59,dist_C_2_y,3869.4285714285716,1
60,dist_C_3_x,3997.5714285714284,1
61,molecule_type_dist_mean,4209.214285714285,1
62,dist_H_2_x,3950.9285714285716,1
63,molecule_dist_max,4073.714285714286,1
64,type,0.0,1
0,cos_c0_c1,4103.571428571428,2
1,adC4,5286.214285714285,2
2,gap,3904.6428571428573,2
3,adH1,6743.285714285715,2
4,distance_closest_1,4336.142857142857,2
5,adC3,4335.928571428572,2
6,cos_c1_f1,4355.0,2
7,cos_c0_f0,4192.428571428572,2
8,cos_c1,3627.8571428571427,2
9,cos_c0,3672.714285714286,2
10,adC2,3923.285714285714,2
11,cos_f1,4118.928571428572,2
12,max_distance_y,4688.428571428572,2
13,cos_f0_f1,4469.285714285715,2
14,cos_f0,4417.857142857143,2
15,linkM0,5409.571428571428,2
16,dist_O_0_y,5310.428571428572,2
17,mulliken_atom_1,4534.5,2
18,dist_O_0_x,5252.857142857143,2
19,bond_angle_plane,6717.5,2
20,lumo,3877.9285714285716,2
21,bond_angle_axis,6209.785714285715,2
22,homo,4529.928571428572,2
23,rc_A,4696.571428571428,2
24,max_molecule_atom_0_dist_xyz,4096.642857142857,2
25,yukawa_C.y,3388.4285714285716,2
26,vander_C.y,3346.5,2
27,freqs_min,4512.214285714285,2
28,dist_C_4_x,4891.0,2
29,distH0,3771.5714285714284,2
30,adN1,2632.0,2
31,mulliken_max,4872.428571428572,2
32,dist_C_4_y,5137.0,2
33,mulliken_atom_0,4575.642857142857,2
34,dist_H_4_y,4756.642857142857,2
35,dist_C_3_y,4203.642857142857,2
36,yukawa_O.y,2638.714285714286,2
37,dist_H_0_y,3608.214285714286,2
38,yukawa_O.x,3528.6428571428573,2
