,feature,importance,fold
0,adC2,3012.4285714285716,1
1,cos_c1,2783.5,1
2,cos_c0,2651.8571428571427,1
3,cos_c0_c1,3089.5714285714284,1
4,adC3,3295.9285714285716,1
5,adH1,3837.0,1
6,cos_c0_f0,2562.714285714286,1
7,dist_C_4_x,3534.9285714285716,1
8,dist_O_0_x,3960.785714285714,1
9,linkM0,3789.1428571428573,1
10,adC4,3002.0714285714284,1
11,bond_angle_axis,3352.785714285714,1
12,dist_C_3_x,3210.0714285714284,1
13,dist_O_0_y,3867.5714285714284,1
14,dist_C_4_y,3813.5714285714284,1
15,dist_H_4_x,3512.5,1
16,bond_angle_plane,3653.4285714285716,1
17,cos_center0_center1,2498.1428571428573,1
18,gap,2620.0,1
19,dist_C_3_y,3386.9285714285716,1
20,mu,3513.785714285714,1
21,mulliken_max,2917.8571428571427,1
22,dist_H_2_x,2673.1428571428573,1
23,dist_H_3_x,2859.6428571428573,1
24,mulliken_atom_0,2559.6428571428573,1
25,cos_f0,2826.0,1
26,rc_A,2875.1428571428573,1
27,max_molecule_atom_0_dist_xyz,2567.6428571428573,1
28,cos_c1_f1,2470.5,1
29,dist_C_2_x,2584.0,1
30,homo,2915.0714285714284,1
31,mulliken_atom_1,2880.4285714285716,1
32,dist_H_0_x,2301.714285714286,1
33,mean_molecule_atom_0_dist_xyz,2733.0,1
34,dist_N_0_x,2866.714285714286,1
35,freqs_min,2976.6428571428573,1
36,molecule_atom_index_0_dist_y_min,3711.0,1
37,lumo,2493.6428571428573,1
38,dist_H_4_y,3097.5714285714284,1
39,cos_f0_f1,2630.5,1
40,molecule_atom_index_0_dist_z_min,3868.3571428571427,1
41,rc_C,2566.6428571428573,1
42,dist_H_1_x,2570.6428571428573,1
43,molecule_atom_index_0_dist_x_min,3814.0714285714284,1
44,molecule_atom_index_0_dist_y_min_div,3689.1428571428573,1
45,adC1,2377.3571428571427,1
46,dist_C_0_y,2577.4285714285716,1
47,cos_f1,2680.8571428571427,1
48,molecule_type_0_dist_z_min_div,4162.142857142857,1
49,distance_center1,2138.4285714285716,1
50,rc_B,2283.0714285714284,1
51,inv_dist0E,2264.0714285714284,1
52,molecule_type_dist_std_div,4060.285714285714,1
53,molecule_type_0_dist_x_min_div,4346.428571428572,1
54,molecule_atom_index_0_dist_z_min_div,3581.785714285714,1
55,cos_center0,2162.785714285714,1
56,molecule_atom_index_0_dist_x_min_div,3699.214285714286,1
57,dist_C_2_y,2990.785714285714,1
58,molecule_type_0_dist_min,3009.714285714286,1
59,dist_H_3_y,2944.5714285714284,1
60,vander_C.y,2619.714285714286,1
61,distance_center0,2259.8571428571427,1
62,cos_center1,2194.214285714286,1
63,inv_dist0,2260.3571428571427,1
64,type,0.0,1
0,adC2,3011.9285714285716,2
1,cos_c1,2802.4285714285716,2
2,cos_c0,2628.3571428571427,2
3,cos_c0_c1,3027.0714285714284,2
4,adC3,3319.285714285714,2
5,adH1,3850.8571428571427,2
6,cos_c0_f0,2566.0,2
7,dist_C_4_x,3555.3571428571427,2
8,dist_O_0_x,3960.1428571428573,2
9,linkM0,3827.785714285714,2
10,adC4,3019.3571428571427,2
11,bond_angle_axis,3345.4285714285716,2
12,dist_C_3_x,3182.714285714286,2
13,dist_O_0_y,3877.5,2
14,dist_C_4_y,3844.0,2
15,dist_H_4_x,3499.0714285714284,2
16,bond_angle_plane,3640.6428571428573,2
17,cos_center0_center1,2496.4285714285716,2
18,gap,2606.785714285714,2
19,dist_C_3_y,3467.4285714285716,2
20,mu,3696.4285714285716,2
21,mulliken_max,2991.3571428571427,2
22,dist_H_2_x,2640.8571428571427,2
23,dist_H_3_x,2839.0,2
24,mulliken_atom_0,2596.8571428571427,2
25,cos_f0,2782.6428571428573,2
26,rc_A,2832.785714285714,2
27,max_molecule_atom_0_dist_xyz,2544.3571428571427,2
28,cos_c1_f1,2494.8571428571427,2
29,dist_C_2_x,2673.5714285714284,2
30,homo,2903.5,2
31,mulliken_atom_1,2929.4285714285716,2
32,dist_H_0_x,2264.1428571428573,2
33,mean_molecule_atom_0_dist_xyz,2753.1428571428573,2
34,dist_N_0_x,2880.1428571428573,2
35,freqs_min,2997.285714285714,2
36,molecule_atom_index_0_dist_y_min,3742.9285714285716,2
37,lumo,2467.4285714285716,2
38,dist_H_4_y,3115.0,2
39,cos_f0_f1,2734.1428571428573,2
40,molecule_atom_index_0_dist_z_min,3861.1428571428573,2
41,rc_C,2578.8571428571427,2
42,dist_H_1_x,2590.9285714285716,2
43,molecule_atom_index_0_dist_x_min,3830.0,2
44,molecule_atom_index_0_dist_y_min_div,3703.285714285714,2
45,adC1,2422.3571428571427,2
46,dist_C_0_y,2594.0,2
47,cos_f1,2753.6428571428573,2
48,molecule_type_0_dist_z_min_div,4101.857142857143,2
49,distance_center1,2125.6428571428573,2
50,rc_B,2275.0,2
51,inv_dist0E,2321.6428571428573,2
52,molecule_type_dist_std_div,4028.3571428571427,2
53,molecule_type_0_dist_x_min_div,4290.714285714285,2
54,molecule_atom_index_0_dist_z_min_div,3515.4285714285716,2
55,cos_center0,2178.3571428571427,2
56,molecule_atom_index_0_dist_x_min_div,3753.4285714285716,2
57,dist_C_2_y,3030.4285714285716,2
58,molecule_type_0_dist_min,3023.285714285714,2
59,dist_H_3_y,2922.8571428571427,2
60,vander_C.y,2629.214285714286,2
61,distance_center0,2218.714285714286,2
62,cos_center1,2186.5714285714284,2
63,inv_dist0,2265.285714285714,2
64,type,0.0,2
0,adC2,3236.285714285714,3
1,cos_c1,2956.6428571428573,3
2,cos_c0,2794.714285714286,3
3,cos_c0_c1,3296.0,3
4,adC3,3539.285714285714,3
5,adH1,4163.071428571428,3
6,cos_c0_f0,2797.5714285714284,3
7,dist_C_4_x,3801.3571428571427,3
8,dist_O_0_x,4218.071428571428,3
9,linkM0,4186.5,3
10,adC4,3198.0714285714284,3
11,bond_angle_axis,3618.8571428571427,3
12,dist_C_3_x,3467.214285714286,3
13,dist_O_0_y,4157.428571428572,3
14,dist_C_4_y,4101.928571428572,3
15,dist_H_4_x,3818.214285714286,3
16,bond_angle_plane,3888.8571428571427,3
17,cos_center0_center1,2711.5,3
18,gap,2825.285714285714,3
19,dist_C_3_y,3690.714285714286,3
20,mu,3874.9285714285716,3
21,mulliken_max,3155.0714285714284,3
22,dist_H_2_x,2869.1428571428573,3
23,dist_H_3_x,3105.9285714285716,3
24,mulliken_atom_0,2767.8571428571427,3
25,cos_f0,2982.1428571428573,3
26,rc_A,3167.714285714286,3
27,max_molecule_atom_0_dist_xyz,2683.0,3
