,feature,importance,fold
0,mulliken_atom_0,503.7857142857143,1
1,adC2,329.2857142857143,1
2,dist_O_0_x,440.57142857142856,1
3,mu,389.7857142857143,1
4,adC1,309.5,1
5,bond_angle_axis,349.42857142857144,1
6,dist_C_3_y,323.85714285714283,1
7,linkM0,396.57142857142856,1
8,dist_C_4_y,362.85714285714283,1
9,dist_O_0_y,389.85714285714283,1
10,dist_C_3_x,398.42857142857144,1
11,adC3,321.2857142857143,1
12,dist_C_4_x,387.07142857142856,1
13,inv_dist1R,201.28571428571428,1
14,bond_angle_plane,360.42857142857144,1
15,homo,354.85714285714283,1
16,mulliken_max,321.7857142857143,1
17,dist_H_4_x,379.35714285714283,1
18,lumo,278.92857142857144,1
19,gap,273.92857142857144,1
20,molecule_type_0_dist_x_std,281.35714285714283,1
21,dist_H_1_x,279.57142857142856,1
22,freqs_min,317.2142857142857,1
23,dist_N_0_y,343.0,1
24,dist_H_3_x,315.7857142857143,1
25,distance_center0,197.92857142857142,1
26,cos_c0_f0,281.14285714285717,1
27,adH1,272.7142857142857,1
28,rc_A,273.2857142857143,1
29,mulliken_atom_1,289.35714285714283,1
30,molecule_type_0_dist_x_max,271.2857142857143,1
31,molecule_dist_max,251.07142857142858,1
32,alpha,256.2142857142857,1
33,dist_C_2_y,266.57142857142856,1
34,dist_H_2_x,274.64285714285717,1
35,vander_C.y,194.42857142857142,1
36,roundness_metric,252.57142857142858,1
37,dist_C_2_x,320.14285714285717,1
38,freqs_max,243.14285714285714,1
39,min_molecule_atom_1_dist_xyz,134.64285714285714,1
40,cos_center0_center1,219.78571428571428,1
41,dist_H_3_y,231.78571428571428,1
42,molecule_dist_std,298.35714285714283,1
43,linkM1,255.0,1
44,molecule_type_0_dist_z_min,263.14285714285717,1
45,rc_C,238.0,1
46,molecule_dist_mean,278.0,1
47,cos_center1,222.78571428571428,1
48,dist_H_4_y,252.07142857142858,1
49,thinness_metric,223.28571428571428,1
50,cos_center0,218.78571428571428,1
51,molecule_type_0_z_1_mean_div,278.57142857142856,1
52,distance_center1,186.14285714285714,1
53,dist_N_1_x,293.92857142857144,1
54,molecule_type_0_dist_max,240.42857142857142,1
55,molecule_type_0_dist_z_min_div,298.07142857142856,1
56,cos_f0_f1,231.07142857142858,1
57,dist_N_0_x,243.85714285714286,1
58,rc_B,237.5,1
59,molecule_type_0_dist_x_min,272.42857142857144,1
60,freqs_mean,282.42857142857144,1
61,molecule_type_0_dist_z_std,247.85714285714286,1
62,molecule_atom_index_0_z_1_mean_div,298.0,1
63,molecule_type_0_dist_y_mean,229.5,1
64,dist_H_0_x,210.64285714285714,1
65,molecule_type_0_dist_y_std,227.92857142857142,1
66,inv_distPR,138.85714285714286,1
67,cos_f1,274.2857142857143,1
68,molecule_type_0_dist_x_mean,245.57142857142858,1
69,cos_c1_f1,208.42857142857142,1
70,dist_C_0_y,176.57142857142858,1
71,Cv,236.64285714285714,1
72,molecule_atom_index_0_dist_y_min,315.14285714285717,1
73,vander_N.x,198.0,1
74,molecule_type_0_dist_y_min,262.7857142857143,1
75,flatness_metric,224.28571428571428,1
76,inv_dist0R,157.5,1
77,dist_H_2_y,205.07142857142858,1
78,distN0,201.28571428571428,1
79,dist_C_1_x,268.07142857142856,1
80,molecule_atom_1_dist_y_min,233.14285714285714,1
81,molecule_type_0_dist_x_min_div,275.85714285714283,1
82,molecule_type_0_dist_y_min_div,267.2857142857143,1
83,adN1,297.35714285714283,1
84,molecule_type_0_x_1_mean_div,296.7857142857143,1
85,dist_H_0_y,203.07142857142858,1
86,molecule_type_0_dist_y_max,201.14285714285714,1
87,molecule_atom_index_0_x_1_mean_div,309.42857142857144,1
88,molecule_atom_index_0_dist_z_min,301.2142857142857,1
89,yukawa_O.x,253.5,1
90,molecule_atom_1_dist_x_min,257.57142857142856,1
91,z_farthest_0,285.42857142857144,1
92,dist_C_0_x,218.85714285714286,1
93,cos_c0_c1,202.92857142857142,1
94,z_farthest_1,254.28571428571428,1
95,molecule_type_0_x_1_std,236.07142857142858,1
96,adC4,249.28571428571428,1
97,molecule_atom_index_0_y_1_std,247.85714285714286,1
98,molecule_type_0_y_1_std,202.71428571428572,1
99,x_farthest_1,232.71428571428572,1
100,molecule_type_0_dist_z_max,223.0,1
101,molecule_type_dist_std_diff,273.5,1
102,inv_dist0,199.71428571428572,1
103,dist_C_1_y,259.57142857142856,1
104,molecule_atom_index_0_dist_x_min,302.7857142857143,1
105,molecule_type_0_y_1_max,182.78571428571428,1
106,molecule_atom_1_dist_z_min,232.42857142857142,1
107,molecule_type_0_dist_std_diff,234.14285714285714,1
108,cos_f0,143.14285714285714,1
109,molecule_type_0_dist_max_diff,155.92857142857142,1
110,molecule_atom_index_1_dist_y_min,201.28571428571428,1
111,molecule_atom_1_dist_y_std_diff,225.92857142857142,1
112,molecule_type_dist_max,167.28571428571428,1
113,vander_O.x,203.0,1
114,vander_C.x,131.5,1
115,inv_dist0E,167.21428571428572,1
116,molecule_atom_index_0_dist_z_min_div,223.0,1
117,molecule_atom_1_dist_z_min_div,276.07142857142856,1
118,molecule_type_0_y_1_mean_div,268.35714285714283,1
119,mulliken_min,214.64285714285714,1
120,molecule_atom_index_0_dist_max_div,208.78571428571428,1
121,molecule_type_0_dist_y_max_diff,204.92857142857142,1
122,molecule_atom_index_1_dist_z_min,212.07142857142858,1
123,max_molecule_atom_0_dist_xyz,165.21428571428572,1
124,molecule_type_0_z_1_mean,230.21428571428572,1
125,molecule_atom_index_0_dist_x_min_div,228.78571428571428,1
126,molecule_atom_1_dist_x_min_div,250.5,1
127,min_molecule_atom_0_dist_xyz,105.57142857142857,1
128,vander_H.x,157.0,1
129,molecule_type_0_dist_z_mean,209.42857142857142,1
130,x_farthest_0,219.71428571428572,1
131,molecule_atom_1_dist_y_min_div,225.92857142857142,1
132,molecule_type_0_y_1_mean,171.71428571428572,1
133,molecule_type_0_z_1_std,198.57142857142858,1
134,molecule_atom_1_dist_y_std,186.07142857142858,1
135,molecule_atom_1_dist_std,193.14285714285714,1
136,molecule_type_0_z_1_max,179.92857142857142,1
137,y_farthest_0,212.78571428571428,1
138,yukawa_C.x,121.78571428571429,1
139,molecule_type_0_x_1_max,179.14285714285714,1
140,yukawa_N.x,187.78571428571428,1
141,molecule_atom_index_1_dist_x_min,201.64285714285714,1
142,molecule_type_0_dist_max_div,102.5,1
143,molecule_atom_index_0_dist_y_min_div,255.85714285714286,1
144,y_farthest_1,205.21428571428572,1
145,molecule_atom_1_dist_x_std_diff,254.57142857142858,1
146,inv_distP,153.57142857142858,1
147,dist_O_1_x,218.0,1
148,cos_c1,75.14285714285714,1
149,yukawa_H.x,148.5,1
150,c_z,181.0,1
151,distN1,150.35714285714286,1
152,sd_molecule_atom_0_dist_xyz,170.57142857142858,1
153,c_y,147.85714285714286,1
154,molecule_atom_1_dist_z_std_diff,284.14285714285717,1
155,molecule_atom_index_1_dist_y_std_diff,219.07142857142858,1
156,sd_molecule_atom_1_dist_xyz,189.28571428571428,1
157,molecule_type_0_x_1_min,167.42857142857142,1
158,yukawa_H.y,139.5,1
159,molecule_atom_index_0_y_1_mean_div,283.2142857142857,1
160,molecule_atom_index_0_x_1_std,237.35714285714286,1
161,molecule_atom_index_1_dist_z_std_diff,238.57142857142858,1
162,molecule_dist_min,151.35714285714286,1
163,molecule_atom_1_dist_y_mean_diff,262.57142857142856,1
164,molecule_type_0_z_1_min,177.28571428571428,1
165,coulomb_C.x,177.71428571428572,1
166,molecule_type_0_dist_z_mean_diff,225.14285714285714,1
167,molecule_atom_1_dist_std_diff,162.0,1
168,molecule_type_0_y_1_min,154.78571428571428,1
