,feature,importance,fold
0,adC2,9641.0,1
1,cos_f0,9061.857142857143,1
2,adC3,9977.357142857143,1
3,cos_c0,8368.285714285714,1
4,cos_c0_f0,8742.0,1
5,adN1,6686.071428571428,1
6,adC4,8463.714285714286,1
7,cos_c0_c1,7843.0,1
8,cos_c1,7069.0,1
9,inv_dist0R,5384.928571428572,1
10,mulliken_atom_0,8921.214285714286,1
11,yukawa_O.x,4809.5,1
12,gap,9198.92857142857,1
13,adH1,10432.214285714286,1
14,mulliken_atom_1,9312.857142857143,1
15,vander_O.x,3298.6428571428573,1
16,distC0,6784.357142857143,1
17,cos_f1,8964.142857142857,1
18,min_molecule_atom_1_dist_xyz,8370.714285714286,1
19,max_molecule_atom_0_dist_xyz,5588.5,1
20,vander_O.y,5020.285714285715,1
21,adC1,4293.785714285715,1
22,linkM0,9594.285714285714,1
23,yukawa_O.y,3216.714285714286,1
24,dist_H_0_x,8108.214285714285,1
25,min_molecule_atom_0_dist_xyz,1716.7857142857142,1
26,bond_angle_plane,11978.714285714286,1
27,inv_distPR,5263.0,1
28,mean_molecule_atom_0_dist_xyz,6202.642857142857,1
29,molecule_atom_index_0_dist_min_div,6099.571428571428,1
30,freqs_min,11219.642857142857,1
31,vander_C.y,6665.571428571428,1
32,cos_f0_f1,9328.57142857143,1
33,bond_angle_axis,12257.07142857143,1
34,coulomb_O.x,4293.928571428572,1
35,molecule_atom_index_0_dist_max_div,4921.785714285715,1
36,coulomb_O.y,4210.428571428572,1
37,linkM1,10798.857142857143,1
38,lumo,8688.92857142857,1
39,molecule_atom_index_0_dist_max_diff,4310.5,1
40,inv_dist1R,6080.785714285715,1
41,cos_center0_center1,10047.42857142857,1
42,molecule_type_dist_max,9553.42857142857,1
43,vander_H.x,8729.5,1
44,dist_O_0_x,11830.142857142857,1
45,dist,6181.428571428572,1
46,molecule_atom_index_0_dist_mean_diff,7007.214285714285,1
47,homo,10199.142857142857,1
48,dist_H_1_x,8117.785714285715,1
49,yukawa_C.y,7116.714285714285,1
50,adH2,5908.642857142857,1
51,type,0.0,1
0,adC2,9655.57142857143,2
1,cos_f0,9113.142857142857,2
2,adC3,9977.357142857143,2
3,cos_c0,8463.357142857143,2
4,cos_c0_f0,8867.214285714286,2
5,adN1,6709.5,2
6,adC4,8520.5,2
7,cos_c0_c1,7855.928571428572,2
8,cos_c1,7113.785714285715,2
9,inv_dist0R,5373.642857142857,2
10,mulliken_atom_0,9035.214285714286,2
11,yukawa_O.x,4811.285714285715,2
12,gap,9204.07142857143,2
13,adH1,10587.285714285714,2
14,mulliken_atom_1,9434.57142857143,2
15,vander_O.x,3387.8571428571427,2
16,distC0,6803.857142857143,2
17,cos_f1,9056.57142857143,2
18,min_molecule_atom_1_dist_xyz,8515.857142857143,2
19,max_molecule_atom_0_dist_xyz,5635.428571428572,2
20,vander_O.y,5107.357142857143,2
21,adC1,4298.785714285715,2
22,linkM0,9749.0,2
23,yukawa_O.y,3250.5714285714284,2
24,dist_H_0_x,8311.92857142857,2
25,min_molecule_atom_0_dist_xyz,1897.7857142857142,2
26,bond_angle_plane,12202.642857142857,2
27,inv_distPR,5315.642857142857,2
28,mean_molecule_atom_0_dist_xyz,6248.642857142857,2
29,molecule_atom_index_0_dist_min_div,6194.928571428572,2
30,freqs_min,11350.714285714286,2
31,vander_C.y,6863.5,2
32,cos_f0_f1,9468.285714285714,2
33,bond_angle_axis,12511.357142857143,2
34,coulomb_O.x,4332.571428571428,2
35,molecule_atom_index_0_dist_max_div,4912.0,2
36,coulomb_O.y,4346.428571428572,2
37,linkM1,10897.142857142857,2
38,lumo,8803.857142857143,2
39,molecule_atom_index_0_dist_max_diff,4410.642857142857,2
40,inv_dist1R,6195.428571428572,2
41,cos_center0_center1,10271.714285714286,2
42,molecule_type_dist_max,9667.285714285714,2
43,vander_H.x,8827.357142857143,2
44,dist_O_0_x,12095.785714285714,2
45,dist,6196.142857142857,2
46,molecule_atom_index_0_dist_mean_diff,7005.071428571428,2
47,homo,10398.857142857143,2
48,dist_H_1_x,8247.92857142857,2
49,yukawa_C.y,7256.285714285715,2
50,adH2,6023.142857142857,2
51,type,0.0,2
0,adC2,9681.785714285714,3
1,cos_f0,9202.07142857143,3
2,adC3,9989.42857142857,3
3,cos_c0,8420.5,3
4,cos_c0_f0,8827.07142857143,3
5,adN1,6779.428571428572,3
6,adC4,8539.357142857143,3
7,cos_c0_c1,7932.857142857143,3
8,cos_c1,7161.142857142857,3
9,inv_dist0R,5217.785714285715,3
10,mulliken_atom_0,8995.785714285714,3
11,yukawa_O.x,4764.0,3
12,gap,9300.714285714286,3
13,adH1,10598.5,3
14,mulliken_atom_1,9424.285714285714,3
15,vander_O.x,3263.9285714285716,3
16,distC0,6848.642857142857,3
17,cos_f1,8985.92857142857,3
18,min_molecule_atom_1_dist_xyz,8467.57142857143,3
19,max_molecule_atom_0_dist_xyz,5718.642857142857,3
20,vander_O.y,5126.428571428572,3
21,adC1,4240.857142857143,3
22,linkM0,9744.214285714286,3
23,yukawa_O.y,3191.0714285714284,3
24,dist_H_0_x,8125.214285714285,3
25,min_molecule_atom_0_dist_xyz,2000.0,3
26,bond_angle_plane,12281.285714285714,3
27,inv_distPR,5262.928571428572,3
28,mean_molecule_atom_0_dist_xyz,6306.642857142857,3
29,molecule_atom_index_0_dist_min_div,6120.5,3
30,freqs_min,11341.42857142857,3
31,vander_C.y,6853.857142857143,3
32,cos_f0_f1,9429.07142857143,3
33,bond_angle_axis,12500.57142857143,3
34,coulomb_O.x,4285.5,3
35,molecule_atom_index_0_dist_max_div,4972.642857142857,3
36,coulomb_O.y,4345.785714285715,3
37,linkM1,10885.5,3
38,lumo,8817.57142857143,3
39,molecule_atom_index_0_dist_max_diff,4413.428571428572,3
40,inv_dist1R,6157.5,3
41,cos_center0_center1,10141.857142857143,3
42,molecule_type_dist_max,9539.42857142857,3
43,vander_H.x,8740.214285714286,3
44,dist_O_0_x,12028.0,3
45,dist,6242.928571428572,3
46,molecule_atom_index_0_dist_mean_diff,7083.5,3
47,homo,10410.57142857143,3
48,dist_H_1_x,8178.785714285715,3
49,yukawa_C.y,7331.357142857143,3
50,adH2,5983.928571428572,3
51,type,0.0,3
0,adC2,9596.357142857143,4
1,cos_f0,9066.92857142857,4
2,adC3,9945.0,4
3,cos_c0,8374.785714285714,4
4,cos_c0_f0,8732.214285714286,4
5,adN1,6723.071428571428,4
