,feature,importance,fold
0,adC3,2237.8571428571427,1
1,adC2,2009.4285714285713,1
2,gap,1960.0,1
3,mulliken_atom_0,2193.0,1
4,cos_f0,2140.785714285714,1
5,mulliken_atom_1,2212.714285714286,1
6,cos_c1_f1,1972.4285714285713,1
7,cos_f0_f1,1892.7142857142858,1
8,adN1,1576.357142857143,1
9,cos_f1,1956.2142857142858,1
10,adC4,2391.4285714285716,1
11,distance_closest_1,1948.2857142857142,1
12,cos_c0_f0,1883.2142857142858,1
13,max_distance_y,2004.7857142857142,1
14,bond_angle_plane,2573.785714285714,1
15,lumo,1832.0,1
16,linkM0,2112.214285714286,1
17,adH1,2242.0714285714284,1
18,inv_distPE,1618.2857142857142,1
19,inv_distP,1626.2857142857142,1
20,homo,2049.6428571428573,1
21,dist_O_0_y,1996.4285714285713,1
22,dist_C_4_y,2088.285714285714,1
23,dist_O_0_x,1931.0,1
24,dist_C_4_x,1974.2857142857142,1
25,cos_c0,1219.5714285714287,1
26,mu,2021.2142857142858,1
27,mulliken_max,2020.2857142857142,1
28,freqs_max,1815.2142857142858,1
29,dist_H_4_y,2033.0,1
30,yukawa_O.x,1478.9285714285713,1
31,rc_A,2192.5,1
32,yukawa_O.y,1543.642857142857,1
33,dist_H_3_x,1804.642857142857,1
34,molecule_dist_min,1823.5,1
35,cos_c0_c1,1127.9285714285713,1
36,dist_H_2_x,1747.9285714285713,1
37,dist_H_2_y,1749.642857142857,1
38,dist_H_4_x,1981.4285714285713,1
39,bond_angle_axis,2221.5,1
40,min_molecule_atom_1_dist_xyz,1354.0,1
41,dist_H_3_y,1826.0714285714287,1
42,dist_C_3_y,1734.5714285714287,1
43,freqs_min,2234.0,1
44,dist,1237.7142857142858,1
45,linkM1,1748.5,1
46,dist_H_1_y,1864.7857142857142,1
47,dist_C_3_x,1690.2857142857142,1
48,distH0,1482.0714285714287,1
49,dist_H_1_x,1740.5,1
50,molecule_atom_index_0_dist_min_div,1441.0,1
51,type,0.0,1
0,adC3,2271.285714285714,2
1,adC2,2012.7142857142858,2
2,gap,1944.857142857143,2
3,mulliken_atom_0,2205.1428571428573,2
4,cos_f0,2120.0,2
5,mulliken_atom_1,2208.9285714285716,2
6,cos_c1_f1,1955.0,2
7,cos_f0_f1,1909.5714285714287,2
8,adN1,1577.4285714285713,2
9,cos_f1,1980.2857142857142,2
10,adC4,2449.3571428571427,2
11,distance_closest_1,1999.7142857142858,2
12,cos_c0_f0,1880.5,2
13,max_distance_y,2050.285714285714,2
14,bond_angle_plane,2637.8571428571427,2
15,lumo,1832.9285714285713,2
16,linkM0,2159.5714285714284,2
17,adH1,2242.0714285714284,2
18,inv_distPE,1628.0714285714287,2
