,feature,importance,fold
0,adC2,3432.3571428571427,1
1,adC3,3898.5,1
2,adC1,3048.4285714285716,1
3,mulliken_atom_0,3184.214285714286,1
4,mulliken_atom_1,2676.5,1
5,adC4,3111.285714285714,1
6,cos_c0_f0,2639.5714285714284,1
7,adH1,3783.785714285714,1
8,adN1,2442.5714285714284,1
9,linkM0,3089.6428571428573,1
10,linkM1,2791.9285714285716,1
11,distC0,2125.5714285714284,1
12,vander_O.y,1387.142857142857,1
13,bond_angle_plane,3204.3571428571427,1
14,inv_dist1R,1397.2142857142858,1
15,max_molecule_atom_0_dist_xyz,1534.357142857143,1
16,cos_center1,1849.357142857143,1
17,yukawa_O.y,1006.6428571428571,1
18,cos_f0,794.5714285714286,1
19,yukawa_O.x,1371.0,1
20,cos_c0_c1,2252.214285714286,1
21,flatness_metric,2396.9285714285716,1
22,cos_f0_f1,2419.714285714286,1
23,freqs_min,2895.3571428571427,1
24,gap,2464.1428571428573,1
25,cos_f1,2411.1428571428573,1
26,vander_O.x,1006.3571428571429,1
27,cos_center0,1801.5714285714287,1
28,homo,2687.1428571428573,1
29,molecule_atom_index_0_dist_max_div,1584.357142857143,1
30,mulliken_max,2671.0,1
31,lumo,2204.5714285714284,1
32,adH2,2183.9285714285716,1
33,inv_distPR,1063.5714285714287,1
34,rc_A,2650.785714285714,1
35,bond_angle_axis,2855.5,1
36,dist_H_1_x,1946.5714285714287,1
37,rc_C,1938.642857142857,1
38,inv_dist0R,1245.2857142857142,1
39,cos_c1_f1,2000.2857142857142,1
40,distC1,1710.2857142857142,1
41,dist_C_4_y,3069.5,1
42,cos_center0_center1,1830.9285714285713,1
43,min_molecule_atom_1_dist_xyz,1453.142857142857,1
44,dist_O_0_x,2852.5714285714284,1
45,dist_H_2_x,2121.9285714285716,1
46,dist_H_0_y,1469.4285714285713,1
47,inv_dist1,1020.5,1
48,yukawa_C.y,1261.142857142857,1
49,yukawa_C.x,1421.2142857142858,1
50,distance_center1,1538.642857142857,1
51,dist_C_4_x,2649.3571428571427,1
52,dist_H_4_x,2482.0714285714284,1
53,dist_C_3_y,2204.0714285714284,1
54,mu,2426.785714285714,1
55,inv_dist0E,1737.642857142857,1
56,min_molecule_atom_0_dist_xyz,884.3571428571429,1
57,vander_C.y,1048.142857142857,1
58,freqs_max,2399.214285714286,1
59,yukawa_H.x,1509.357142857143,1
60,inv_dist0,1656.0714285714287,1
61,dist_H_3_x,2138.285714285714,1
62,rc_B,1906.7857142857142,1
63,yukawa_H.y,1246.0714285714287,1
64,dist_O_0_y,2313.9285714285716,1
65,distance_center0,1634.857142857143,1
66,mulliken_min,2424.3571428571427,1
67,vander_C.x,1247.857142857143,1
68,molecule_dist_mean,2412.285714285714,1
69,mean_molecule_atom_0_dist_xyz,1575.142857142857,1
70,coulomb_O.y,961.2857142857143,1
71,dist_H_3_y,1599.857142857143,1
72,dist_C_3_x,2134.5,1
73,cos_c1,888.4285714285714,1
74,vander_H.x,1182.857142857143,1
75,inv_distP,1198.142857142857,1
76,max_molecule_atom_1_dist_xyz,1435.642857142857,1
77,thinness_metric,1667.7857142857142,1
78,dist_H_2_y,1256.5714285714287,1
79,dist_C_2_y,1841.0,1
80,inv_distPE,1435.142857142857,1
81,coulomb_O.x,1144.9285714285713,1
82,dist_H_4_y,1669.9285714285713,1
83,molecule_type_dist_min,1788.2142857142858,1
84,molecule_atom_index_0_dist_max_diff,825.4285714285714,1
85,dist_H_0_x,1513.142857142857,1
86,dist_C_0_y,1338.142857142857,1
87,inv_dist1E,986.5714285714286,1
88,roundness_metric,1828.7857142857142,1
89,molecule_type_dist_std_diff,1874.2857142857142,1
90,molecule_type_dist_max,2154.3571428571427,1
91,sd_molecule_atom_1_dist_xyz,1848.7142857142858,1
92,vander_H.y,1033.7142857142858,1
93,sd_molecule_atom_0_dist_xyz,1525.7142857142858,1
94,vander_N.y,1144.5,1
95,molecule_dist_std,2172.4285714285716,1
