,feature,importance,fold
0,adC3,1069.857142857143,1
1,adC2,1076.0714285714287,1
2,gap,974.4285714285714,1
3,mulliken_atom_0,1092.357142857143,1
4,cos_f0,1271.142857142857,1
5,mulliken_atom_1,1209.0,1
6,cos_c1_f1,1097.857142857143,1
7,cos_f0_f1,1056.642857142857,1
8,adN1,901.6428571428571,1
9,cos_f1,1154.142857142857,1
10,adC4,1119.857142857143,1
11,distance_closest_1,1029.7857142857142,1
12,cos_c0_f0,957.4285714285714,1
13,max_distance_y,1106.5714285714287,1
14,bond_angle_plane,1558.357142857143,1
15,lumo,830.2857142857143,1
16,linkM0,1016.7857142857143,1
17,adH1,1338.7142857142858,1
18,inv_distPE,926.2857142857143,1
19,inv_distP,1037.2142857142858,1
20,homo,888.2142857142857,1
21,dist_O_0_y,1084.142857142857,1
22,dist_C_4_y,1066.0,1
23,dist_O_0_x,987.7142857142857,1
24,dist_C_4_x,922.1428571428571,1
25,cos_c0,630.6428571428571,1
26,mu,910.0,1
27,mulliken_max,869.0,1
28,freqs_max,855.7857142857143,1
29,dist_H_4_y,957.3571428571429,1
30,yukawa_O.x,477.07142857142856,1
31,rc_A,852.5,1
32,yukawa_O.y,514.2857142857143,1
33,dist_H_3_x,754.5714285714286,1
34,molecule_dist_min,768.7142857142857,1
35,cos_c0_c1,505.0,1
36,dist_H_2_x,750.7857142857143,1
37,dist_H_2_y,799.7142857142857,1
38,dist_H_4_x,838.8571428571429,1
39,bond_angle_axis,1131.4285714285713,1
40,min_molecule_atom_1_dist_xyz,727.3571428571429,1
41,dist_H_3_y,894.0,1
42,dist_C_3_y,871.1428571428571,1
43,freqs_min,847.6428571428571,1
44,dist,491.7857142857143,1
45,linkM1,911.2857142857143,1
46,dist_H_1_y,773.0714285714286,1
47,dist_C_3_x,759.0,1
48,distH0,594.6428571428571,1
49,dist_H_1_x,687.8571428571429,1
50,molecule_atom_index_0_dist_min_div,510.7857142857143,1
51,dist_H_0_y,671.4285714285714,1
52,roundness_metric,620.8571428571429,1
53,yukawa_H.y,601.9285714285714,1
54,molecule_atom_index_0_dist_min_diff,444.92857142857144,1
55,dist_N_0_x,731.5,1
56,vander_O.x,317.85714285714283,1
57,molecule_dist_max,667.7857142857143,1
58,rc_B,609.3571428571429,1
59,cos_center0_center1,604.2142857142857,1
60,molecule_type_dist_max,682.9285714285714,1
61,dist_H_0_x,577.0714285714286,1
62,vander_O.y,365.35714285714283,1
63,distance_center1,647.2857142857143,1
64,cos_c1,389.64285714285717,1
65,inv_dist0R,518.7857142857143,1
66,yukawa_H.x,553.5,1
67,vander_H.x,561.7857142857143,1
68,mulliken_min,727.7857142857143,1
69,molecule_type_0_dist_max,555.5714285714286,1
70,flatness_metric,720.4285714285714,1
71,dist_C_2_y,719.4285714285714,1
72,dist_N_0_y,778.6428571428571,1
73,molecule_type_dist_std_diff,813.6428571428571,1
74,molecule_type_dist_z_std,777.9285714285714,1
75,inv_dist0E,543.5714285714286,1
76,vander_H.y,593.4285714285714,1
77,yukawa_C.y,567.7857142857143,1
78,molecule_type_0_dist_y_max,807.7142857142857,1
79,dist_inv2,296.7142857142857,1
80,rc_C,573.9285714285714,1
81,dist_C_2_x,624.5,1
82,thinness_metric,547.0,1
83,coulomb_O.x,439.5,1
84,distance_center0,559.5,1
85,cos_center0,768.7857142857143,1
86,molecule_type_0_dist_y_mean,811.6428571428571,1
87,molecule_atom_1_dist_z_min,790.9285714285714,1
88,molecule_type_0_dist_z_max,796.2857142857143,1
89,molecule_type_dist_min,702.3571428571429,1
90,molecule_dist_mean,769.7142857142857,1
91,molecule_type_0_dist_x_min,856.7142857142857,1
92,cos_center1,708.2142857142857,1
93,molecule_type_0_dist_y_min,863.3571428571429,1
94,mean_molecule_atom_0_dist_xyz,537.1428571428571,1
95,yukawa_C.x,644.5714285714286,1
96,molecule_type_0_dist_max_div,501.35714285714283,1
97,coulomb_O.y,473.7857142857143,1
98,molecule_type_dist_x_std,811.0714285714286,1
99,molecule_type_0_dist_std_diff,803.2857142857143,1
100,molecule_atom_1_dist_max,720.7857142857143,1
101,min_molecule_atom_0_dist_xyz,328.57142857142856,1
102,inv_dist0,527.2857142857143,1
103,adC1,355.85714285714283,1
104,molecule_type_z_1_std,774.7142857142857,1
105,molecule_atom_index_0_dist_x_min,1064.142857142857,1
106,molecule_type_x_1_std,907.0714285714286,1
107,molecule_type_0_dist_max_diff,407.85714285714283,1
108,molecule_type_0_dist_z_min,703.7857142857143,1
109,z_farthest_0,879.5714285714286,1
110,molecule_dist_std,670.1428571428571,1
111,max_molecule_atom_0_dist_xyz,559.2857142857143,1
112,molecule_type_0_dist_x_max,783.2142857142857,1
113,molecule_atom_index_0_dist_y_min,1096.142857142857,1
114,min_distance_y,0.0,1
