,feature,importance,fold
0,cos_c0_c1,1052.7857142857142,1
1,adC2,884.2857142857143,1
2,cos_c1,1044.2142857142858,1
3,linkM0,1326.2857142857142,1
4,dist_O_0_x,1360.857142857143,1
5,cos_c0,823.7857142857143,1
6,adC3,1039.2142857142858,1
7,adC4,1084.5714285714287,1
8,mulliken_atom_0,949.2142857142857,1
9,dist_C_4_x,1296.7142857142858,1
10,cos_f0,866.0,1
11,adH1,1310.357142857143,1
12,bond_angle_axis,1202.857142857143,1
13,dist_H_4_x,1199.4285714285713,1
14,cos_c0_f0,875.2142857142857,1
15,bond_angle_plane,1182.2857142857142,1
16,dist_O_0_y,1150.142857142857,1
17,gap,932.4285714285714,1
18,dist_H_3_x,953.7857142857143,1
19,dist_C_3_x,1085.0,1
20,dist_C_4_y,1262.5,1
21,cos_f0_f1,1085.857142857143,1
22,dist_H_2_x,866.9285714285714,1
23,dist_C_3_y,1075.0,1
24,mu,1202.5714285714287,1
25,dist_N_0_x,984.7142857142857,1
26,rc_A,938.0,1
27,cos_f1,932.6428571428571,1
28,mulliken_max,1015.2857142857143,1
29,lumo,828.4285714285714,1
30,distance_center1,745.2142857142857,1
31,distance_center0,742.7857142857143,1
32,cos_center0_center1,687.2857142857143,1
33,mulliken_atom_1,894.8571428571429,1
34,max_molecule_atom_0_dist_xyz,658.9285714285714,1
35,molecule_atom_index_0_dist_y_min,1201.142857142857,1
36,dist_C_2_x,904.4285714285714,1
37,homo,1000.3571428571429,1
38,molecule_atom_index_0_dist_x_min,1239.357142857143,1
39,dist_H_1_x,701.8571428571429,1
40,molecule_type_0_dist_z_min_div,1134.2857142857142,1
41,mean_molecule_atom_0_dist_xyz,705.0,1
42,cos_center0,719.0714285714286,1
43,molecule_type_0_dist_y_min_div,1106.142857142857,1
44,cos_c1_f1,865.9285714285714,1
45,inv_distPR,652.7857142857143,1
46,molecule_type_0_dist_x_min,995.0,1
47,inv_dist0,747.0714285714286,1
48,roundness_metric,765.2142857142857,1
49,sd_molecule_atom_0_dist_xyz,609.7857142857143,1
50,vander_H.x,574.5,1
51,z_farthest_0,988.8571428571429,1
52,molecule_type_0_dist_x_min_div,1164.0714285714287,1
53,molecule_type_0_dist_z_min,941.6428571428571,1
54,molecule_atom_index_0_z_1_mean_div,1317.5,1
55,molecule_atom_index_0_dist_x_min_div,1043.357142857143,1
56,yukawa_H.x,521.2142857142857,1
57,dist_H_0_x,658.3571428571429,1
58,molecule_atom_index_0_dist_z_min,1142.7142857142858,1
59,vander_C.y,815.2857142857143,1
60,molecule_atom_index_0_dist_max_diff,478.0,1
61,molecule_atom_index_0_dist_max_div,491.0,1
62,molecule_type_dist_std_diff,918.4285714285714,1
63,molecule_atom_index_0_dist_z_min_div,1111.357142857143,1
64,freqs_min,937.0,1
65,molecule_type_dist_std_div,797.8571428571429,1
66,molecule_type_0_dist_y_min,938.1428571428571,1
67,molecule_dist_std,853.9285714285714,1
68,molecule_type_dist_std,426.92857142857144,1
69,rc_B,715.2142857142857,1
70,molecule_type_0_dist_max_diff,714.7857142857143,1
71,cos_center1,701.3571428571429,1
72,molecule_atom_index_0_dist_mean_div,582.0,1
73,molecule_type_0_dist_y_max,871.4285714285714,1
74,mulliken_min,939.6428571428571,1
75,freqs_max,1007.2142857142857,1
76,dist_C_1_x,724.5714285714286,1
77,molecule_atom_index_0_y_1_std,967.5714285714286,1
78,dist_H_4_y,948.0,1
79,yukawa_O.x,554.7857142857143,1
80,inv_dist0E,676.1428571428571,1
81,molecule_type_0_dist_min,838.3571428571429,1
82,molecule_type_0_dist_y_std,808.7857142857143,1
83,alpha,884.2142857142857,1
84,molecule_atom_index_0_dist_y_min_div,1051.4285714285713,1
85,molecule_atom_index_0_dist_mean_diff,399.0,1
86,inv_dist0R,499.92857142857144,1
87,thinness_metric,656.4285714285714,1
88,dist_C_0_y,651.5714285714286,1
89,molecule_type_dist_x_std,952.4285714285714,1
90,distN0,638.9285714285714,1
91,dist_C_0_x,621.1428571428571,1
92,molecule_atom_index_0_x_1_std,990.0714285714286,1
93,y_farthest_0,845.8571428571429,1
94,molecule_type_0_dist_y_mean,936.1428571428571,1
95,molecule_type_dist_y_std,974.6428571428571,1
96,linkM1,919.2857142857143,1
97,molecule_atom_index_0_x_1_mean_div,1154.857142857143,1
98,molecule_type_0_dist_max_div,475.35714285714283,1
99,dist_C_1_y,752.2142857142857,1
