,feature,importance,fold
0,mulliken_atom_0,2341.3333333333335,1
1,adC2,2600.0,1
2,dist_O_0_x,2229.6666666666665,1
3,mu,1821.0,1
4,adC1,2038.3333333333333,1
5,bond_angle_axis,2309.6666666666665,1
6,dist_C_3_y,1897.0,1
7,linkM0,2506.6666666666665,1
8,dist_C_4_y,2117.3333333333335,1
9,dist_O_0_y,1945.6666666666667,1
10,dist_C_3_x,2144.6666666666665,1
11,adC3,2051.6666666666665,1
12,dist_C_4_x,1939.0,1
13,inv_dist1R,1754.3333333333333,1
14,bond_angle_plane,2245.3333333333335,1
15,homo,1658.0,1
16,mulliken_max,1705.6666666666667,1
17,dist_H_4_x,1919.6666666666667,1
18,lumo,1495.0,1
19,gap,1568.0,1
20,molecule_type_0_dist_x_std,1673.0,1
21,dist_H_1_x,1931.3333333333333,1
22,freqs_min,1523.3333333333333,1
23,dist_N_0_y,2141.3333333333335,1
24,dist_H_3_x,1800.3333333333333,1
25,distance_center0,1636.0,1
26,cos_c0_f0,2157.0,1
27,adH1,2039.0,1
28,rc_A,1753.6666666666667,1
29,mulliken_atom_1,1484.3333333333333,1
30,molecule_type_0_dist_x_max,1826.6666666666667,1
31,molecule_dist_max,1570.6666666666667,1
32,alpha,1537.3333333333333,1
33,dist_C_2_y,1695.3333333333333,1
34,dist_H_2_x,1848.0,1
35,vander_C.y,1483.3333333333333,1
36,roundness_metric,1391.3333333333333,1
37,dist_C_2_x,1722.6666666666667,1
38,freqs_max,1643.3333333333333,1
39,min_molecule_atom_1_dist_xyz,1925.0,1
40,cos_center0_center1,1636.6666666666667,1
41,dist_H_3_y,1520.0,1
42,molecule_dist_std,1596.3333333333333,1
43,linkM1,1821.6666666666667,1
44,molecule_type_0_dist_z_min,1752.6666666666667,1
45,rc_C,1349.6666666666667,1
46,molecule_dist_mean,1561.3333333333333,1
47,cos_center1,1434.3333333333333,1
48,dist_H_4_y,1516.0,1
49,thinness_metric,1321.0,1
50,cos_center0,1477.6666666666667,1
51,molecule_type_0_z_1_mean_div,1794.0,1
52,distance_center1,1462.6666666666667,1
53,dist_N_1_x,1887.0,1
54,molecule_type_0_dist_max,1509.0,1
55,molecule_type_0_dist_z_min_div,1846.6666666666667,1
56,cos_f0_f1,2215.0,1
57,dist_N_0_x,1628.0,1
58,rc_B,1270.6666666666667,1
59,molecule_type_0_dist_x_min,1617.3333333333333,1
60,freqs_mean,1290.6666666666667,1
61,molecule_type_0_dist_z_std,1616.3333333333333,1
62,molecule_atom_index_0_z_1_mean_div,2127.0,1
63,molecule_type_0_dist_y_mean,1736.0,1
64,type,0.0,1
