,feature,importance,fold
0,adC2,11173.333333333334,1
1,cos_f0,10738.0,1
2,adC3,10860.666666666666,1
3,cos_c0,9545.666666666666,1
4,cos_c0_f0,9002.666666666666,1
5,adN1,9610.333333333334,1
6,adC4,8850.333333333334,1
7,cos_c0_c1,8060.333333333333,1
8,cos_c1,7689.666666666667,1
9,inv_dist0R,6375.666666666667,1
10,mulliken_atom_0,7964.666666666667,1
11,yukawa_O.x,5840.333333333333,1
12,gap,8038.666666666667,1
13,adH1,7769.0,1
14,mulliken_atom_1,8374.333333333334,1
15,vander_O.x,5229.333333333333,1
16,distC0,6839.0,1
17,cos_f1,7430.666666666667,1
18,min_molecule_atom_1_dist_xyz,7530.0,1
19,max_molecule_atom_0_dist_xyz,6486.333333333333,1
20,vander_O.y,6003.666666666667,1
21,adC1,5638.0,1
22,linkM0,7133.0,1
23,yukawa_O.y,5173.333333333333,1
24,dist_H_0_x,6371.0,1
25,min_molecule_atom_0_dist_xyz,3861.3333333333335,1
26,bond_angle_plane,8096.666666666667,1
27,inv_distPR,5670.666666666667,1
28,mean_molecule_atom_0_dist_xyz,5441.666666666667,1
29,molecule_atom_index_0_dist_min_div,6636.666666666667,1
30,freqs_min,7659.333333333333,1
31,vander_C.y,6764.333333333333,1
32,cos_f0_f1,7396.0,1
33,bond_angle_axis,8234.666666666666,1
34,coulomb_O.x,5022.666666666667,1
35,molecule_atom_index_0_dist_max_div,5621.666666666667,1
36,coulomb_O.y,4986.333333333333,1
37,linkM1,7311.0,1
38,lumo,7028.333333333333,1
39,molecule_atom_index_0_dist_max_diff,5381.0,1
40,inv_dist1R,6495.666666666667,1
41,cos_center0_center1,7384.333333333333,1
42,molecule_type_dist_max,7926.333333333333,1
43,vander_H.x,5022.333333333333,1
44,dist_O_0_x,7490.333333333333,1
45,dist,6807.333333333333,1
46,molecule_atom_index_0_dist_mean_diff,4920.0,1
47,homo,7067.0,1
48,dist_H_1_x,5726.0,1
49,yukawa_C.y,6148.0,1
50,adH2,4294.333333333333,1
51,cos_c1_f1,7081.333333333333,1
52,molecule_atom_index_1_dist_min_div,6109.0,1
53,dist_H_4_x,7409.333333333333,1
54,inv_dist0E,5344.666666666667,1
55,dist_H_2_x,6477.333333333333,1
56,max_molecule_atom_1_dist_xyz,8295.333333333334,1
57,inv_dist0,4921.0,1
58,distC1,6498.333333333333,1
59,rc_C,7521.0,1
60,mulliken_max,7071.0,1
61,distance_center1,7314.666666666667,1
62,molecule_atom_index_0_dist_mean_div,4495.666666666667,1
63,yukawa_H.x,4823.333333333333,1
64,type,0.0,1
0,adC2,11143.0,2
1,cos_f0,10834.666666666666,2
2,adC3,10793.0,2
3,cos_c0,9368.333333333334,2
4,cos_c0_f0,8918.333333333334,2
5,adN1,9609.666666666666,2
6,adC4,8812.666666666666,2
7,cos_c0_c1,8114.333333333333,2
8,cos_c1,7715.666666666667,2
9,inv_dist0R,6119.0,2
10,mulliken_atom_0,7930.666666666667,2
11,yukawa_O.x,5831.666666666667,2
12,gap,8038.333333333333,2
13,adH1,7796.333333333333,2
14,mulliken_atom_1,8431.0,2
15,vander_O.x,5215.333333333333,2
16,distC0,6873.0,2
17,cos_f1,7410.666666666667,2
18,min_molecule_atom_1_dist_xyz,7531.333333333333,2
19,max_molecule_atom_0_dist_xyz,6285.333333333333,2
20,vander_O.y,5942.0,2
21,adC1,5775.333333333333,2
22,linkM0,7168.666666666667,2
23,yukawa_O.y,5193.333333333333,2
24,dist_H_0_x,6417.0,2
25,min_molecule_atom_0_dist_xyz,3769.0,2
26,bond_angle_plane,8225.333333333334,2
27,inv_distPR,5691.0,2
28,mean_molecule_atom_0_dist_xyz,5514.333333333333,2
29,molecule_atom_index_0_dist_min_div,6600.333333333333,2
30,freqs_min,7757.666666666667,2
31,vander_C.y,6783.0,2
32,cos_f0_f1,7394.333333333333,2
33,bond_angle_axis,8116.0,2
34,coulomb_O.x,5051.333333333333,2
35,molecule_atom_index_0_dist_max_div,5688.0,2
36,coulomb_O.y,4962.0,2
37,linkM1,7338.666666666667,2
38,lumo,7036.666666666667,2
39,molecule_atom_index_0_dist_max_diff,5395.666666666667,2
40,inv_dist1R,6512.0,2
41,cos_center0_center1,7120.333333333333,2
