,feature,importance,fold
0,cos_c0_c1,7920.666666666667,1
1,adC4,10101.0,1
2,gap,7360.666666666667,1
3,adH1,9623.333333333334,1
4,distance_closest_1,8213.333333333334,1
5,adC3,9028.666666666666,1
6,cos_c1_f1,8352.0,1
7,cos_c0_f0,7975.333333333333,1
8,cos_c1,7438.666666666667,1
9,cos_c0,7540.666666666667,1
10,adC2,7920.666666666667,1
11,cos_f1,7899.333333333333,1
12,max_distance_y,8204.0,1
13,cos_f0_f1,7683.0,1
14,cos_f0,7790.666666666667,1
15,linkM0,8293.333333333334,1
16,dist_O_0_y,8328.0,1
17,mulliken_atom_1,7598.666666666667,1
18,dist_O_0_x,8281.333333333334,1
19,bond_angle_plane,9314.666666666666,1
20,lumo,6800.666666666667,1
21,bond_angle_axis,9069.333333333334,1
22,homo,7565.0,1
23,rc_A,8456.0,1
24,max_molecule_atom_0_dist_xyz,7615.333333333333,1
25,yukawa_C.y,6412.0,1
26,vander_C.y,6308.666666666667,1
27,freqs_min,7230.666666666667,1
28,dist_C_4_x,8435.0,1
29,distH0,6531.0,1
30,adN1,5406.0,1
31,mulliken_max,7499.666666666667,1
32,dist_C_4_y,8409.0,1
33,mulliken_atom_0,7679.666666666667,1
34,dist_H_4_y,7950.333333333333,1
35,dist_C_3_y,7093.333333333333,1
36,yukawa_O.y,5498.0,1
37,dist_H_0_y,6103.0,1
38,yukawa_O.x,6756.333333333333,1
39,dist_H_4_x,7902.333333333333,1
40,dist_H_3_y,7185.666666666667,1
41,mean_molecule_atom_0_dist_xyz,7350.333333333333,1
42,flatness_metric,7100.666666666667,1
43,dist_H_1_y,6503.0,1
44,dist_H_3_x,7166.666666666667,1
45,mu,7075.333333333333,1
46,rc_B,6506.333333333333,1
47,dist_H_2_y,6602.333333333333,1
48,molecule_type_dist_max,6853.0,1
49,linkM1,6924.0,1
50,molecule_dist_min,6578.666666666667,1
51,max_molecule_atom_1_dist_xyz,6563.333333333333,1
52,molecule_atom_1_dist_min,7298.333333333333,1
53,vander_O.y,4860.333333333333,1
54,cos_center0_center1,7715.333333333333,1
55,molecule_atom_index_1_dist_std_diff,9851.333333333334,1
56,freqs_max,6728.333333333333,1
57,distH1,6705.666666666667,1
58,rc_C,6283.0,1
59,dist_C_2_y,6638.333333333333,1
60,dist_C_3_x,6953.666666666667,1
61,molecule_type_dist_mean,7088.0,1
62,dist_H_2_x,6859.0,1
63,molecule_dist_max,6982.666666666667,1
64,type,0.0,1
0,cos_c0_c1,7853.0,2
1,adC4,9964.666666666666,2
2,gap,7263.333333333333,2
3,adH1,9668.333333333334,2
4,distance_closest_1,8180.0,2
