,feature,importance,fold
0,adC2,10819.142857142857,1
1,cos_f0,9861.714285714286,1
2,adC3,11158.785714285714,1
3,cos_c0,9499.92857142857,1
4,cos_c0_f0,9811.857142857143,1
5,adN1,7639.428571428572,1
6,adC4,9405.142857142857,1
7,cos_c0_c1,8784.57142857143,1
8,cos_c1,7940.285714285715,1
9,inv_dist0R,6010.928571428572,1
10,mulliken_atom_0,10266.42857142857,1
11,yukawa_O.x,5229.571428571428,1
12,gap,11290.92857142857,1
13,adH1,12813.285714285714,1
14,mulliken_atom_1,10639.5,1
15,vander_O.x,3594.785714285714,1
16,distC0,7933.142857142857,1
17,cos_f1,9989.92857142857,1
18,min_molecule_atom_1_dist_xyz,9294.42857142857,1
19,max_molecule_atom_0_dist_xyz,6370.214285714285,1
20,vander_O.y,5556.714285714285,1
21,adC1,5081.5,1
22,linkM0,11017.42857142857,1
23,yukawa_O.y,3461.5714285714284,1
24,dist_H_0_x,10259.857142857143,1
25,min_molecule_atom_0_dist_xyz,1875.642857142857,1
26,bond_angle_plane,13512.357142857143,1
27,inv_distPR,5867.071428571428,1
28,mean_molecule_atom_0_dist_xyz,8960.42857142857,1
29,molecule_atom_index_0_dist_min_div,9134.857142857143,1
30,freqs_min,12810.214285714286,1
31,vander_C.y,10531.285714285714,1
32,cos_f0_f1,10285.92857142857,1
33,bond_angle_axis,13941.57142857143,1
34,coulomb_O.x,4633.285714285715,1
35,molecule_atom_index_0_dist_max_div,5831.428571428572,1
36,coulomb_O.y,4655.071428571428,1
37,linkM1,12029.285714285714,1
38,lumo,10497.642857142857,1
39,molecule_atom_index_0_dist_max_diff,5022.5,1
40,inv_dist1R,6776.428571428572,1
41,cos_center0_center1,11682.785714285714,1
42,molecule_type_dist_max,10812.5,1
43,vander_H.x,9987.57142857143,1
44,dist_O_0_x,13278.57142857143,1
45,type,0.0,1
0,adC2,10784.92857142857,2
1,cos_f0,9740.714285714286,2
2,adC3,11087.214285714286,2
3,cos_c0,9295.785714285714,2
4,cos_c0_f0,9737.214285714286,2
5,adN1,7412.642857142857,2
6,adC4,9307.57142857143,2
7,cos_c0_c1,8658.714285714286,2
8,cos_c1,7877.142857142857,2
9,inv_dist0R,6011.357142857143,2
10,mulliken_atom_0,10305.214285714286,2
11,yukawa_O.x,5173.0,2
12,gap,11204.714285714286,2
13,adH1,12573.07142857143,2
14,mulliken_atom_1,10443.5,2
15,vander_O.x,3614.3571428571427,2
16,distC0,7861.142857142857,2
17,cos_f1,9866.142857142857,2
18,min_molecule_atom_1_dist_xyz,9219.642857142857,2
19,max_molecule_atom_0_dist_xyz,6322.857142857143,2
20,vander_O.y,5484.0,2
21,adC1,4998.642857142857,2
22,linkM0,10901.857142857143,2
23,yukawa_O.y,3416.4285714285716,2
24,dist_H_0_x,10101.214285714286,2
25,min_molecule_atom_0_dist_xyz,1786.7142857142858,2
26,bond_angle_plane,13257.857142857143,2
27,inv_distPR,5769.357142857143,2
28,mean_molecule_atom_0_dist_xyz,8990.07142857143,2
29,molecule_atom_index_0_dist_min_div,9018.857142857143,2
30,freqs_min,12660.357142857143,2
31,vander_C.y,10451.5,2
32,cos_f0_f1,10234.5,2
33,bond_angle_axis,13664.142857142857,2
34,coulomb_O.x,4599.642857142857,2
35,molecule_atom_index_0_dist_max_div,5816.214285714285,2
36,coulomb_O.y,4620.928571428572,2
37,linkM1,11876.42857142857,2
38,lumo,10332.57142857143,2
39,molecule_atom_index_0_dist_max_diff,5031.857142857143,2
40,inv_dist1R,6744.571428571428,2
41,cos_center0_center1,11555.285714285714,2
42,molecule_type_dist_max,10753.285714285714,2
43,vander_H.x,9910.07142857143,2
44,dist_O_0_x,13070.5,2
45,type,0.0,2
0,adC2,10912.142857142857,3
1,cos_f0,9941.07142857143,3
2,adC3,11256.57142857143,3
3,cos_c0,9538.285714285714,3
4,cos_c0_f0,9817.5,3
5,adN1,7540.357142857143,3
6,adC4,9515.714285714286,3
7,cos_c0_c1,8792.357142857143,3
8,cos_c1,7994.428571428572,3
9,inv_dist0R,5869.785714285715,3
10,mulliken_atom_0,10344.57142857143,3
11,yukawa_O.x,5286.785714285715,3
12,gap,11256.642857142857,3
13,adH1,12794.92857142857,3
14,mulliken_atom_1,10646.92857142857,3
15,vander_O.x,3653.5,3
16,distC0,7952.142857142857,3
17,cos_f1,9995.142857142857,3
18,min_molecule_atom_1_dist_xyz,9358.07142857143,3
19,max_molecule_atom_0_dist_xyz,6347.857142857143,3
20,vander_O.y,5611.428571428572,3
21,adC1,4937.357142857143,3
22,linkM0,11076.0,3
23,yukawa_O.y,3524.214285714286,3
24,dist_H_0_x,10310.857142857143,3
25,min_molecule_atom_0_dist_xyz,2184.0,3
26,bond_angle_plane,13635.07142857143,3
27,inv_distPR,5926.428571428572,3
28,mean_molecule_atom_0_dist_xyz,9066.07142857143,3
29,molecule_atom_index_0_dist_min_div,9187.785714285714,3
30,freqs_min,13016.07142857143,3
31,vander_C.y,10496.42857142857,3
32,cos_f0_f1,10292.785714285714,3
33,bond_angle_axis,13838.714285714286,3
34,coulomb_O.x,4750.357142857143,3
35,molecule_atom_index_0_dist_max_div,5833.142857142857,3
36,coulomb_O.y,4728.928571428572,3
37,linkM1,11974.642857142857,3
38,lumo,10596.285714285714,3
39,molecule_atom_index_0_dist_max_diff,5041.785714285715,3
40,inv_dist1R,6789.571428571428,3
41,cos_center0_center1,11677.714285714286,3
42,molecule_type_dist_max,10803.5,3
43,vander_H.x,10102.714285714286,3
44,dist_O_0_x,13439.5,3
45,type,0.0,3
0,adC2,10790.57142857143,4
1,cos_f0,9772.857142857143,4
2,adC3,11182.07142857143,4
3,cos_c0,9509.714285714286,4
4,cos_c0_f0,9769.857142857143,4
5,adN1,7450.642857142857,4
6,adC4,9383.07142857143,4
7,cos_c0_c1,8688.42857142857,4
8,cos_c1,7879.571428571428,4
9,inv_dist0R,5996.142857142857,4
10,mulliken_atom_0,10300.0,4
11,yukawa_O.x,5204.428571428572,4
12,gap,11149.714285714286,4
13,adH1,12651.285714285714,4
14,mulliken_atom_1,10537.214285714286,4
15,vander_O.x,3618.6428571428573,4
16,distC0,7864.285714285715,4
17,cos_f1,9935.285714285714,4
18,min_molecule_atom_1_dist_xyz,9281.785714285714,4
19,max_molecule_atom_0_dist_xyz,6380.285714285715,4
20,vander_O.y,5580.857142857143,4
21,adC1,5012.785714285715,4
22,linkM0,11004.42857142857,4
23,yukawa_O.y,3493.3571428571427,4
24,dist_H_0_x,10202.0,4
25,min_molecule_atom_0_dist_xyz,1811.2142857142858,4
26,bond_angle_plane,13363.357142857143,4
27,inv_distPR,5874.0,4
28,mean_molecule_atom_0_dist_xyz,8940.92857142857,4
29,molecule_atom_index_0_dist_min_div,9005.214285714286,4
30,freqs_min,12838.07142857143,4
31,vander_C.y,10540.785714285714,4
32,cos_f0_f1,10244.857142857143,4
33,bond_angle_axis,13820.285714285714,4
34,coulomb_O.x,4670.071428571428,4
35,molecule_atom_index_0_dist_max_div,5783.071428571428,4
36,coulomb_O.y,4680.357142857143,4
37,linkM1,12005.142857142857,4
38,lumo,10371.214285714286,4
39,molecule_atom_index_0_dist_max_diff,5022.785714285715,4
40,inv_dist1R,6790.0,4
41,cos_center0_center1,11530.214285714286,4
42,molecule_type_dist_max,10806.92857142857,4
43,vander_H.x,9967.57142857143,4
44,dist_O_0_x,13297.0,4
45,type,0.0,4
0,adC2,10832.07142857143,5
1,cos_f0,9860.42857142857,5
2,adC3,11163.357142857143,5
3,cos_c0,9504.357142857143,5
4,cos_c0_f0,9835.92857142857,5
5,adN1,7516.857142857143,5
6,adC4,9351.857142857143,5
7,cos_c0_c1,8717.785714285714,5
8,cos_c1,7879.785714285715,5
9,inv_dist0R,6014.642857142857,5
10,mulliken_atom_0,10329.142857142857,5
11,yukawa_O.x,5246.5,5
12,gap,11264.857142857143,5
13,adH1,12663.357142857143,5
14,mulliken_atom_1,10544.57142857143,5
15,vander_O.x,3671.1428571428573,5
16,distC0,7962.0,5
17,cos_f1,9972.785714285714,5
