,feature,importance,fold
0,cos_c0_c1,4146.5,1
1,adC4,5354.785714285715,1
2,gap,3970.5714285714284,1
3,adH1,6745.285714285715,1
4,distance_closest_1,4363.357142857143,1
5,adC3,4358.714285714285,1
6,cos_c1_f1,4340.357142857143,1
7,cos_c0_f0,4206.357142857143,1
8,cos_c1,3654.285714285714,1
9,cos_c0,3669.5714285714284,1
10,adC2,3956.0714285714284,1
11,cos_f1,4089.714285714286,1
12,max_distance_y,4608.785714285715,1
13,cos_f0_f1,4483.928571428572,1
14,cos_f0,4397.285714285715,1
15,linkM0,5431.285714285715,1
16,dist_O_0_y,5245.071428571428,1
17,mulliken_atom_1,4572.571428571428,1
18,dist_O_0_x,5247.214285714285,1
19,bond_angle_plane,6698.214285714285,1
20,lumo,3860.6428571428573,1
21,bond_angle_axis,6238.214285714285,1
22,homo,4508.0,1
23,rc_A,4668.857142857143,1
24,max_molecule_atom_0_dist_xyz,4121.142857142857,1
25,yukawa_C.y,3355.3571428571427,1
26,vander_C.y,3322.3571428571427,1
27,freqs_min,4463.642857142857,1
28,dist_C_4_x,4883.0,1
29,distH0,3738.285714285714,1
30,adN1,2626.5,1
31,mulliken_max,4832.642857142857,1
32,dist_C_4_y,5040.571428571428,1
33,mulliken_atom_0,4506.928571428572,1
34,dist_H_4_y,4711.642857142857,1
35,dist_C_3_y,4154.214285714285,1
36,yukawa_O.y,2607.0,1
37,dist_H_0_y,3611.9285714285716,1
38,yukawa_O.x,3517.0,1
39,dist_H_4_x,4772.428571428572,1
40,dist_H_3_y,4165.214285714285,1
41,mean_molecule_atom_0_dist_xyz,4391.428571428572,1
42,flatness_metric,4171.857142857143,1
43,dist_H_1_y,3647.3571428571427,1
44,dist_H_3_x,4158.928571428572,1
45,mu,4667.071428571428,1
46,rc_B,3502.785714285714,1
47,dist_H_2_y,3800.214285714286,1
48,molecule_type_dist_max,3885.0714285714284,1
49,linkM1,4457.0,1
50,molecule_dist_min,4063.6428571428573,1
51,max_molecule_atom_1_dist_xyz,3381.8571428571427,1
52,molecule_atom_1_dist_min,4236.928571428572,1
53,vander_O.y,1788.2857142857142,1
54,cos_center0_center1,4915.928571428572,1
55,molecule_atom_index_1_dist_std_diff,7639.5,1
56,freqs_max,4177.571428571428,1
57,distH1,5172.071428571428,1
58,rc_C,3332.9285714285716,1
59,dist_C_2_y,3839.5,1
60,dist_C_3_x,3995.785714285714,1
61,molecule_type_dist_mean,4137.642857142857,1
62,dist_H_2_x,3935.1428571428573,1
63,molecule_dist_max,4065.785714285714,1
64,type,0.0,1
0,cos_c0_c1,4103.571428571428,2
1,adC4,5317.5,2
2,gap,3910.9285714285716,2
3,adH1,6675.5,2
4,distance_closest_1,4344.428571428572,2
5,adC3,4329.5,2
6,cos_c1_f1,4272.785714285715,2
7,cos_c0_f0,4192.357142857143,2
8,cos_c1,3667.0714285714284,2
9,cos_c0,3673.0714285714284,2
10,adC2,3914.3571428571427,2
11,cos_f1,4134.785714285715,2
12,max_distance_y,4646.428571428572,2
13,cos_f0_f1,4517.142857142857,2
14,cos_f0,4370.857142857143,2
15,linkM0,5390.714285714285,2
16,dist_O_0_y,5298.928571428572,2
17,mulliken_atom_1,4525.0,2
18,dist_O_0_x,5217.714285714285,2
19,bond_angle_plane,6714.428571428572,2
20,lumo,3874.714285714286,2
21,bond_angle_axis,6213.0,2
22,homo,4494.857142857143,2
23,rc_A,4672.785714285715,2
24,max_molecule_atom_0_dist_xyz,4111.928571428572,2
25,yukawa_C.y,3364.285714285714,2
26,vander_C.y,3304.285714285714,2
27,freqs_min,4470.428571428572,2
28,dist_C_4_x,4882.071428571428,2
29,distH0,3761.1428571428573,2
30,adN1,2583.1428571428573,2
31,mulliken_max,4794.857142857143,2
32,dist_C_4_y,5050.928571428572,2
33,mulliken_atom_0,4545.928571428572,2
34,dist_H_4_y,4725.428571428572,2
35,dist_C_3_y,4157.642857142857,2
36,yukawa_O.y,2627.1428571428573,2
37,dist_H_0_y,3603.285714285714,2
38,yukawa_O.x,3517.3571428571427,2
39,dist_H_4_x,4782.142857142857,2
40,dist_H_3_y,4135.714285714285,2
41,mean_molecule_atom_0_dist_xyz,4408.0,2
42,flatness_metric,4127.714285714285,2
43,dist_H_1_y,3618.785714285714,2
44,dist_H_3_x,4169.0,2
45,mu,4656.357142857143,2
46,rc_B,3466.3571428571427,2
47,dist_H_2_y,3783.6428571428573,2
48,molecule_type_dist_max,3960.3571428571427,2
49,linkM1,4400.5,2
50,molecule_dist_min,3981.714285714286,2
51,max_molecule_atom_1_dist_xyz,3412.5,2
52,molecule_atom_1_dist_min,4256.142857142857,2
