,feature,importance,fold
0,adC2,1737.5,1
1,cos_c1,1626.0,1
2,cos_c0,1198.7142857142858,1
3,cos_c0_c1,1787.642857142857,1
4,adC3,1971.4285714285713,1
5,adH1,2693.5,1
6,cos_c0_f0,1578.0,1
7,dist_C_4_x,2400.285714285714,1
8,dist_O_0_x,2618.5714285714284,1
9,linkM0,2310.0,1
10,adC4,2024.4285714285713,1
11,bond_angle_axis,2156.5,1
12,dist_C_3_x,2095.1428571428573,1
13,dist_O_0_y,2339.9285714285716,1
14,dist_C_4_y,2280.0,1
15,dist_H_4_x,2256.4285714285716,1
16,bond_angle_plane,2234.4285714285716,1
17,cos_center0_center1,1508.9285714285713,1
18,gap,1526.7142857142858,1
19,dist_C_3_y,1924.7142857142858,1
20,mu,2241.5714285714284,1
21,mulliken_max,1802.5,1
22,dist_H_2_x,1531.142857142857,1
23,dist_H_3_x,1777.857142857143,1
24,mulliken_atom_0,1499.857142857143,1
25,cos_f0,1175.2857142857142,1
26,rc_A,1416.642857142857,1
27,max_molecule_atom_0_dist_xyz,1463.857142857143,1
28,cos_c1_f1,1371.2857142857142,1
29,dist_C_2_x,1637.5714285714287,1
30,homo,1680.142857142857,1
31,mulliken_atom_1,1406.2857142857142,1
32,dist_H_0_x,1238.2142857142858,1
33,mean_molecule_atom_0_dist_xyz,1475.857142857143,1
34,dist_N_0_x,1852.642857142857,1
35,freqs_min,1708.2857142857142,1
36,molecule_atom_index_0_dist_y_min,2126.0714285714284,1
37,lumo,1495.2142857142858,1
38,dist_H_4_y,1560.357142857143,1
39,cos_f0_f1,1600.2857142857142,1
40,molecule_atom_index_0_dist_z_min,2272.6428571428573,1
41,rc_C,1237.5,1
42,dist_H_1_x,1447.7857142857142,1
43,molecule_atom_index_0_dist_x_min,2272.3571428571427,1
44,molecule_atom_index_0_dist_y_min_div,2142.8571428571427,1
45,adC1,1018.4285714285714,1
46,dist_C_0_y,1203.142857142857,1
47,cos_f1,1616.9285714285713,1
48,molecule_type_0_dist_z_min_div,2180.285714285714,1
49,distance_center1,1089.5,1
50,rc_B,1289.2142857142858,1
51,inv_dist0E,1257.142857142857,1
52,molecule_type_dist_std_div,1368.0714285714287,1
53,molecule_type_0_dist_x_min_div,2151.785714285714,1
54,molecule_atom_index_0_dist_z_min_div,2010.2142857142858,1
55,cos_center0,1178.2142857142858,1
56,molecule_atom_index_0_dist_x_min_div,2056.1428571428573,1
57,dist_C_2_y,1640.7142857142858,1
58,molecule_type_0_dist_min,1441.5714285714287,1
59,dist_H_3_y,1346.357142857143,1
60,vander_C.y,1069.2142857142858,1
61,distance_center0,1321.5714285714287,1
62,cos_center1,1320.2857142857142,1
63,inv_dist0,1358.2142857142858,1
64,roundness_metric,1311.2857142857142,1
65,sd_molecule_atom_0_dist_xyz,1315.5714285714287,1
66,linkM1,1517.142857142857,1
67,molecule_type_dist_std,1148.0714285714287,1
68,molecule_type_0_dist_z_min,1689.357142857143,1
69,molecule_atom_index_0_z_1_mean_div,2155.9285714285716,1
70,molecule_type_0_dist_y_min_div,1844.5714285714287,1
71,dist_C_1_x,1280.5,1
72,molecule_atom_1_dist_x_min_div,1515.5714285714287,1
73,molecule_type_0_dist_x_min,1737.7857142857142,1
74,molecule_type_0_dist_std,1356.9285714285713,1
75,molecule_atom_index_0_dist_std_div,1317.5714285714287,1
76,molecule_atom_index_1_dist_z_min_div,1486.2857142857142,1
77,molecule_type_0_dist_y_std,1344.5,1
78,yukawa_C.y,919.3571428571429,1
79,freqs_max,1506.642857142857,1
80,molecule_atom_index_1_dist_std_diff,976.3571428571429,1
81,molecule_type_0_dist_y_max,1737.9285714285713,1
82,molecule_atom_index_0_y_1_std,1577.7857142857142,1
83,inv_distPR,1036.7857142857142,1
84,molecule_type_0_dist_std_div,1525.7857142857142,1
85,molecule_atom_1_dist_z_min_div,1562.2857142857142,1
86,z_farthest_0,1649.2142857142858,1
87,dist_C_1_y,1527.0714285714287,1
88,molecule_dist_std,1369.5,1
89,molecule_type_dist_min,987.4285714285714,1
90,mulliken_min,1500.642857142857,1
91,dist_H_2_y,1276.0,1
92,alpha,1523.5714285714287,1
93,molecule_dist_mean,1521.5714285714287,1
94,min_molecule_atom_1_dist_xyz,1071.7857142857142,1
95,molecule_type_dist_mean,1205.2857142857142,1
96,molecule_type_dist_y_std,1596.9285714285713,1
97,thinness_metric,1155.142857142857,1
98,molecule_type_dist_min_diff,947.4285714285714,1
99,molecule_type_dist_std_diff,1141.4285714285713,1
100,molecule_atom_index_1_dist_x_min_div,1391.0714285714287,1
101,molecule_dist_max,1428.4285714285713,1
102,inv_dist0R,719.2857142857143,1
103,molecule_type_0_dist_y_min,1570.357142857143,1
104,min_molecule_atom_0_dist_xyz,366.14285714285717,1
105,molecule_atom_index_0_dist_min_div,738.4285714285714,1
106,molecule_type_0_z_1_mean_div,1733.357142857143,1
107,molecule_atom_1_dist_y_min_div,1397.0714285714287,1
108,Cv,1448.0,1
109,molecule_atom_1_dist_y_min,1386.9285714285713,1
110,dist_H_1_y,1237.0,1
111,distN1,1226.2142857142858,1
112,molecule_type_dist_min_div,634.8571428571429,1
113,dist_C_0_x,1150.4285714285713,1
114,molecule_atom_index_0_x_1_mean_div,2044.2142857142858,1
115,molecule_type_0_y_1_std,1388.857142857143,1
116,vander_H.x,1155.857142857143,1
117,z_closest_0,1323.0714285714287,1
118,molecule_atom_index_1_dist_y_min_div,1152.0,1
119,dist_N_0_y,2052.4285714285716,1
120,molecule_type_0_dist_mean,1288.2857142857142,1
