,feature,importance,fold
0,adC3,2049.0,1
1,adC2,1909.357142857143,1
2,gap,1785.5714285714287,1
3,mulliken_atom_0,2048.4285714285716,1
4,cos_f0,2016.7857142857142,1
5,mulliken_atom_1,1991.0714285714287,1
6,cos_c1_f1,1790.9285714285713,1
7,cos_f0_f1,1770.642857142857,1
8,adN1,1374.0,1
9,cos_f1,1839.7142857142858,1
10,adC4,2261.0,1
11,distance_closest_1,1825.4285714285713,1
12,cos_c0_f0,1734.5,1
13,max_distance_y,1935.2142857142858,1
14,bond_angle_plane,2410.785714285714,1
15,lumo,1653.2142857142858,1
16,linkM0,2013.9285714285713,1
17,adH1,2164.6428571428573,1
18,inv_distPE,1553.7857142857142,1
19,inv_distP,1551.857142857143,1
20,homo,1852.142857142857,1
21,dist_O_0_y,1823.9285714285713,1
22,dist_C_4_y,1850.0714285714287,1
23,dist_O_0_x,1776.9285714285713,1
24,dist_C_4_x,1786.142857142857,1
25,cos_c0,1097.357142857143,1
26,mu,1809.5,1
27,mulliken_max,1855.5,1
28,freqs_max,1676.2142857142858,1
29,dist_H_4_y,1820.5,1
30,yukawa_O.x,979.1428571428571,1
31,rc_A,1841.0,1
32,yukawa_O.y,1376.357142857143,1
33,dist_H_3_x,1628.0,1
34,molecule_dist_min,1606.0714285714287,1
35,cos_c0_c1,956.1428571428571,1
36,dist_H_2_x,1610.357142857143,1
37,dist_H_2_y,1541.5714285714287,1
38,dist_H_4_x,1775.5,1
39,bond_angle_axis,2025.2142857142858,1
40,min_molecule_atom_1_dist_xyz,1243.642857142857,1
41,dist_H_3_y,1630.0,1
42,dist_C_3_y,1577.642857142857,1
43,freqs_min,2043.857142857143,1
44,dist,1122.142857142857,1
45,linkM1,1619.357142857143,1
46,dist_H_1_y,1474.5,1
47,dist_C_3_x,1533.7142857142858,1
48,distH0,1376.9285714285713,1
49,dist_H_1_x,1543.857142857143,1
50,molecule_atom_index_0_dist_min_div,1124.9285714285713,1
