,feature,importance,fold
0,cos_c0,11501.07142857143,1
1,adC2,12277.92857142857,1
2,adC3,13038.357142857143,1
3,cos_f0,8820.785714285714,1
4,cos_c0_c1,11720.0,1
5,cos_c0_f0,10228.857142857143,1
6,adC4,12053.714285714286,1
7,cos_c1,11534.07142857143,1
8,adN1,7172.714285714285,1
9,adH1,13952.5,1
10,adC1,6902.428571428572,1
11,inv_dist0R,5701.785714285715,1
12,min_molecule_atom_1_dist_xyz,10457.0,1
13,distC0,9045.0,1
14,mulliken_atom_1,11297.642857142857,1
15,gap,15243.714285714286,1
16,max_molecule_atom_0_dist_xyz,8602.214285714286,1
17,mulliken_atom_0,11009.42857142857,1
18,min_molecule_atom_0_dist_xyz,3096.285714285714,1
19,vander_C.y,8975.57142857143,1
20,yukawa_O.x,7932.285714285715,1
21,vander_O.y,8562.857142857143,1
22,linkM0,11974.857142857143,1
23,molecule_atom_index_0_dist_std_diff,8012.714285714285,1
24,cos_f1,8374.92857142857,1
25,molecule_atom_index_0_dist_min_div,5183.214285714285,1
26,inv_distPR,6628.142857142857,1
27,dist_H_0_x,10580.92857142857,1
28,yukawa_O.y,5982.357142857143,1
29,mean_molecule_atom_0_dist_xyz,9584.57142857143,1
30,molecule_atom_index_1_dist_std_diff,9927.42857142857,1
31,freqs_min,14398.5,1
32,linkM1,12680.857142857143,1
33,cos_center0_center1,13335.142857142857,1
34,vander_O.x,5355.428571428572,1
35,inv_dist1R,7463.714285714285,1
36,max_molecule_atom_1_dist_xyz,10789.285714285714,1
37,bond_angle_axis,14265.92857142857,1
38,cos_f0_f1,8344.0,1
39,molecule_atom_index_1_dist_min_div,7429.714285714285,1
40,bond_angle_plane,14192.357142857143,1
41,yukawa_C.y,9397.785714285714,1
42,molecule_atom_index_0_dist_std_div,9146.357142857143,1
43,molecule_atom_index_0_dist_min_diff,4121.142857142857,1
44,dist_H_1_x,10663.857142857143,1
45,type,0.0,1
0,cos_c0,11495.857142857143,2
1,adC2,12318.142857142857,2
2,adC3,13034.42857142857,2
3,cos_f0,8943.357142857143,2
4,cos_c0_c1,11953.857142857143,2
5,cos_c0_f0,10319.785714285714,2
6,adC4,12146.785714285714,2
7,cos_c1,11551.785714285714,2
8,adN1,7094.857142857143,2
9,adH1,14031.214285714286,2
10,adC1,6907.928571428572,2
11,inv_dist0R,5636.785714285715,2
12,min_molecule_atom_1_dist_xyz,10481.285714285714,2
13,distC0,9071.07142857143,2
14,mulliken_atom_1,11127.357142857143,2
15,gap,15105.92857142857,2
16,max_molecule_atom_0_dist_xyz,8714.785714285714,2
17,mulliken_atom_0,11007.57142857143,2
18,min_molecule_atom_0_dist_xyz,3047.6428571428573,2
19,vander_C.y,9035.57142857143,2
20,yukawa_O.x,8023.142857142857,2
21,vander_O.y,8620.357142857143,2
22,linkM0,12084.42857142857,2
23,molecule_atom_index_0_dist_std_diff,8083.714285714285,2
24,cos_f1,8530.642857142857,2
25,molecule_atom_index_0_dist_min_div,5226.214285714285,2
26,inv_distPR,6633.357142857143,2
27,dist_H_0_x,10558.285714285714,2
28,yukawa_O.y,5996.214285714285,2
29,mean_molecule_atom_0_dist_xyz,9610.214285714286,2
30,molecule_atom_index_1_dist_std_diff,9963.07142857143,2
31,freqs_min,14330.0,2
32,linkM1,12738.07142857143,2
33,cos_center0_center1,13352.42857142857,2
