,feature,importance,fold
0,cos_c0_c1,1262.5,1
1,adC2,1130.5,1
2,cos_c1,1202.0,1
3,linkM0,1134.5,1
4,dist_O_0_x,1121.5,1
5,cos_c0,1134.5,1
6,adC3,1132.0,1
7,adC4,1090.0,1
8,mulliken_atom_0,1033.0,1
9,dist_C_4_x,1107.0,1
10,cos_f0,1068.5,1
11,adH1,1015.0,1
12,bond_angle_axis,1069.5,1
13,dist_H_4_x,1032.5,1
14,cos_c0_f0,1034.5,1
15,bond_angle_plane,1063.0,1
16,dist_O_0_y,1015.0,1
17,gap,899.0,1
18,dist_H_3_x,944.5,1
19,dist_C_3_x,980.0,1
20,dist_C_4_y,1017.0,1
21,cos_f0_f1,951.5,1
22,dist_H_2_x,890.0,1
23,dist_C_3_y,835.0,1
24,mu,892.5,1
25,dist_N_0_x,803.0,1
26,rc_A,857.5,1
27,cos_f1,887.0,1
28,mulliken_max,845.5,1
29,lumo,771.5,1
30,distance_center1,850.5,1
31,distance_center0,746.0,1
32,cos_center0_center1,771.0,1
33,mulliken_atom_1,888.0,1
34,max_molecule_atom_0_dist_xyz,869.5,1
35,molecule_atom_index_0_dist_y_min,841.5,1
36,dist_C_2_x,826.5,1
37,homo,879.0,1
38,molecule_atom_index_0_dist_x_min,786.5,1
39,dist_H_1_x,755.5,1
40,molecule_type_0_dist_z_min_div,785.5,1
41,mean_molecule_atom_0_dist_xyz,741.0,1
42,cos_center0,720.5,1
43,molecule_type_0_dist_y_min_div,779.0,1
44,cos_c1_f1,798.0,1
45,inv_distPR,728.0,1
46,molecule_type_0_dist_x_min,782.0,1
47,inv_dist0,690.5,1
48,roundness_metric,681.0,1
49,sd_molecule_atom_0_dist_xyz,654.0,1
50,vander_H.x,664.5,1
51,z_farthest_0,770.5,1
52,molecule_type_0_dist_x_min_div,790.5,1
53,molecule_type_0_dist_z_min,687.5,1
54,molecule_atom_index_0_z_1_mean_div,790.5,1
55,molecule_atom_index_0_dist_x_min_div,764.5,1
56,yukawa_H.x,609.0,1
57,dist_H_0_x,665.0,1
58,molecule_atom_index_0_dist_z_min,772.0,1
59,vander_C.y,708.5,1
60,molecule_atom_index_0_dist_max_diff,741.5,1
61,molecule_atom_index_0_dist_max_div,684.0,1
62,molecule_type_dist_std_diff,842.0,1
63,molecule_atom_index_0_dist_z_min_div,776.0,1
64,freqs_min,748.5,1
65,molecule_type_dist_std_div,773.5,1
66,molecule_type_0_dist_y_min,713.0,1
67,molecule_dist_std,714.0,1
68,molecule_type_dist_std,649.5,1
69,rc_B,650.5,1
70,molecule_type_0_dist_max_diff,666.0,1
71,cos_center1,701.0,1
72,molecule_atom_index_0_dist_mean_div,707.5,1
73,molecule_type_0_dist_y_max,707.5,1
74,mulliken_min,704.0,1
75,freqs_max,724.0,1
76,dist_C_1_x,649.5,1
77,molecule_atom_index_0_y_1_std,746.0,1
78,dist_H_4_y,770.0,1
79,yukawa_O.x,553.0,1
80,inv_dist0E,683.0,1
81,molecule_type_0_dist_min,673.0,1
82,molecule_type_0_dist_y_std,699.5,1
83,alpha,610.5,1
84,molecule_atom_index_0_dist_y_min_div,769.5,1
85,molecule_atom_index_0_dist_mean_diff,614.5,1
86,inv_dist0R,633.0,1
87,thinness_metric,572.0,1
88,dist_C_0_y,580.5,1
89,molecule_type_dist_x_std,794.0,1
90,distN0,805.5,1
91,dist_C_0_x,607.5,1
92,molecule_atom_index_0_x_1_std,693.5,1
93,y_farthest_0,719.0,1
94,molecule_type_0_dist_y_mean,662.0,1
95,molecule_type_dist_y_std,846.0,1
96,linkM1,726.0,1
97,molecule_atom_index_0_x_1_mean_div,708.5,1
98,molecule_type_0_dist_max_div,619.5,1
99,dist_C_1_y,614.0,1
100,molecule_atom_1_dist_y_min,679.0,1
101,x_farthest_0,740.0,1
102,flatness_metric,600.5,1
103,dist_C_2_y,597.5,1
104,z_farthest_1,699.5,1
105,molecule_type_0_dist_x_std,625.5,1
106,molecule_atom_index_0_dist_std_diff,598.5,1
107,molecule_type_dist_z_std_div,878.0,1
108,z_0,764.0,1
109,molecule_atom_1_dist_x_min,584.5,1
110,molecule_atom_1_dist_z_min_div,671.0,1
111,molecule_atom_index_0_dist_y_max_diff,705.0,1
112,molecule_atom_1_dist_x_min_div,672.5,1
113,rc_C,552.0,1
114,molecule_dist_max,644.0,1
115,molecule_atom_index_0_dist_std_div,569.5,1
116,freqs_mean,625.0,1
117,min_molecule_atom_0_dist_xyz,485.5,1
118,molecule_dist_mean,553.0,1
119,molecule_type_dist_z_std,733.0,1
120,molecule_atom_index_0_x_1_mean_diff,662.0,1
121,molecule_type_0_dist_x_max,626.5,1
122,dist_N_1_x,676.0,1
123,molecule_type_dist_max,648.5,1
124,vander_O.x,499.5,1
125,inv_distP,593.5,1
126,min_molecule_atom_1_dist_xyz,720.5,1
127,molecule_type_0_dist_std_div,723.0,1
128,molecule_type_0_dist_std_diff,586.0,1
129,dist_H_3_y,645.5,1
130,molecule_atom_index_0_dist_min_div,781.5,1
131,inv_distPE,593.5,1
132,molecule_atom_index_0_dist_y_max,533.5,1
133,yukawa_C.y,566.0,1
134,molecule_type_dist_x_std_div,940.5,1
135,molecule_type_0_dist_z_mean,548.0,1
136,molecule_atom_index_0_y_1_mean_div,657.0,1
137,x_farthest_1,695.0,1
138,molecule_type_0_x_1_std,666.0,1
139,molecule_type_0_dist_z_max,551.0,1
140,adC1,520.0,1
141,molecule_atom_index_0_z_1_mean_diff,729.5,1
142,molecule_type_0_x_1_mean_div,649.0,1
143,molecule_type_0_dist_mean_diff,565.0,1
144,Cv,539.0,1
145,molecule_atom_index_0_dist_x_max_diff,721.0,1
146,molecule_type_0_z_1_mean_div,636.5,1
147,yukawa_C.x,437.5,1
148,molecule_atom_index_0_z_1_std,622.5,1
149,molecule_type_dist_max_diff,670.0,1
150,molecule_atom_index_0_dist_y_std,546.5,1
151,molecule_type_0_dist_max,550.0,1
152,molecule_dist_min,582.0,1
153,dist_H_2_y,492.5,1
154,molecule_type_0_y_1_mean_div,609.5,1
155,dist_N_0_y,667.0,1
156,molecule_type_0_y_1_max,652.0,1
157,molecule_type_0_dist_z_std,553.5,1
158,molecule_atom_index_0_y_1_mean_diff,608.0,1
159,molecule_atom_index_0_dist_y_mean,560.0,1
160,molecule_type_0_dist_x_mean,576.0,1
161,coulomb_O.x,437.5,1
162,molecule_atom_index_1_dist_z_min,539.0,1
163,molecule_type_dist_mean_diff,733.0,1
164,x_0,740.5,1
165,dist_H_1_y,523.5,1
166,coulomb_H.x,519.5,1
167,molecule_atom_index_1_dist_y_std,836.0,1
168,coulomb_C.x,490.5,1
169,distN1,564.0,1
170,molecule_atom_index_1_dist_z_min_div,559.5,1
171,molecule_type_dist_min,599.5,1
172,yukawa_H.y,612.5,1
173,molecule_atom_index_0_y_1_max_diff,580.5,1
174,vander_C.x,481.5,1
175,molecule_atom_index_0_x_1_min_diff,611.0,1
176,molecule_atom_index_1_dist_x_min_div,548.0,1
177,molecule_atom_index_1_dist_x_min,551.5,1
178,molecule_atom_index_0_dist_z_std_diff,690.5,1
179,molecule_type_dist_y_std_div,925.0,1
180,molecule_atom_1_dist_z_min,541.0,1
181,dist_H_0_y,472.5,1
182,molecule_atom_1_dist_y_min_div,709.0,1
183,molecule_atom_1_dist_y_mean,630.0,1
184,molecule_type_dist_z_std_diff,829.0,1
185,molecule_atom_index_0_dist_z_max_diff,672.5,1
186,molecule_type_dist_x_min,576.0,1
187,molecule_type_0_z_1_std,557.0,1
188,molecule_atom_index_0_y_1_min_diff,574.5,1
189,molecule_atom_index_0_x_1_max_diff,548.5,1
190,molecule_type_dist_z_min_div,569.5,1
