,feature,importance,fold
0,adC3,7601.0,1
1,cos_c0,6952.0,1
2,cos_c0_f0,6519.0,1
3,adN1,6799.0,1
4,adC4,6001.0,1
5,cos_c0_c1,5538.5,1
6,cos_c1,5020.5,1
7,inv_dist0R,4303.0,1
8,mulliken_atom_0,4599.5,1
9,yukawa_O.x,3885.0,1
10,gap,4358.5,1
11,adH1,4504.5,1
12,mulliken_atom_1,5342.0,1
13,vander_O.x,3678.5,1
14,distC0,4728.5,1
15,cos_f1,4567.5,1
16,min_molecule_atom_1_dist_xyz,5111.0,1
17,max_molecule_atom_0_dist_xyz,4513.5,1
18,vander_O.y,4201.5,1
19,adC1,4022.0,1
20,linkM0,4232.0,1
21,yukawa_O.y,3313.0,1
22,dist_H_0_x,3648.0,1
23,min_molecule_atom_0_dist_xyz,2686.5,1
24,bond_angle_plane,4356.0,1
25,inv_distPR,4070.5,1
26,mean_molecule_atom_0_dist_xyz,3360.5,1
27,molecule_atom_index_0_dist_min_div,4684.5,1
28,freqs_min,3867.5,1
29,vander_C.y,4272.0,1
30,cos_f0_f1,4456.5,1
31,bond_angle_axis,4164.0,1
32,coulomb_O.x,3117.0,1
33,molecule_atom_index_0_dist_max_div,3852.5,1
34,coulomb_O.y,2980.0,1
35,linkM1,4118.5,1
36,lumo,3629.0,1
37,molecule_atom_index_0_dist_max_diff,3667.0,1
38,inv_dist1R,4616.0,1
39,cos_center0_center1,3849.5,1
40,molecule_type_dist_max,4573.5,1
41,vander_H.x,2972.5,1
42,dist_O_0_x,3483.5,1
43,dist,4738.0,1
44,molecule_atom_index_0_dist_mean_diff,2970.5,1
45,homo,3504.5,1
46,dist_H_1_x,3130.0,1
47,yukawa_C.y,3651.0,1
48,adH2,2480.5,1
49,cos_c1_f1,3637.0,1
50,molecule_atom_index_1_dist_min_div,3908.5,1
51,dist_H_4_x,3710.0,1
52,inv_dist0E,3313.5,1
53,dist_H_2_x,3276.5,1
54,max_molecule_atom_1_dist_xyz,4731.0,1
55,inv_dist0,3088.0,1
56,distC1,3618.5,1
57,rc_C,3584.5,1
58,mulliken_max,3472.5,1
59,distance_center1,3946.5,1
60,molecule_atom_index_0_dist_mean_div,2648.5,1
61,yukawa_H.x,2834.0,1
62,type,0.0,1
0,adC3,7578.0,2
1,cos_c0,6863.0,2
2,cos_c0_f0,6616.5,2
3,adN1,6688.0,2
4,adC4,5857.0,2
5,cos_c0_c1,5539.5,2
6,cos_c1,4984.5,2
7,inv_dist0R,4410.5,2
8,mulliken_atom_0,4742.0,2
9,yukawa_O.x,3952.0,2
10,gap,4354.5,2
11,adH1,4491.5,2
12,mulliken_atom_1,5441.0,2
13,vander_O.x,3628.5,2
14,distC0,4690.0,2
15,cos_f1,4562.5,2
16,min_molecule_atom_1_dist_xyz,5047.0,2
17,max_molecule_atom_0_dist_xyz,4637.0,2
18,vander_O.y,4156.5,2
19,adC1,4173.0,2
20,linkM0,4293.0,2
21,yukawa_O.y,3290.0,2
22,dist_H_0_x,3643.5,2
23,min_molecule_atom_0_dist_xyz,2415.5,2
24,bond_angle_plane,4270.0,2
25,inv_distPR,4041.0,2
26,mean_molecule_atom_0_dist_xyz,3355.5,2
27,molecule_atom_index_0_dist_min_div,4605.5,2
28,freqs_min,3958.0,2
29,vander_C.y,4409.5,2
30,cos_f0_f1,4399.5,2
31,bond_angle_axis,4264.5,2
32,coulomb_O.x,3081.0,2
33,molecule_atom_index_0_dist_max_div,3909.0,2
34,coulomb_O.y,3010.5,2
35,linkM1,4122.5,2
36,lumo,3728.5,2
37,molecule_atom_index_0_dist_max_diff,3687.5,2
38,inv_dist1R,4502.0,2
39,cos_center0_center1,3717.0,2
40,molecule_type_dist_max,4508.5,2
41,vander_H.x,3082.0,2
42,dist_O_0_x,3456.0,2
43,dist,4748.5,2
44,molecule_atom_index_0_dist_mean_diff,2939.5,2
45,homo,3457.5,2
46,dist_H_1_x,3113.5,2
47,yukawa_C.y,3640.0,2
48,adH2,2511.5,2
49,cos_c1_f1,3557.5,2
50,molecule_atom_index_1_dist_min_div,3832.0,2
51,dist_H_4_x,3694.0,2
52,inv_dist0E,3257.5,2
53,dist_H_2_x,3096.0,2
54,max_molecule_atom_1_dist_xyz,4673.5,2
55,inv_dist0,3089.0,2
56,distC1,3579.5,2
57,rc_C,3515.0,2
58,mulliken_max,3395.0,2
59,distance_center1,3944.5,2
60,molecule_atom_index_0_dist_mean_div,2612.0,2
61,yukawa_H.x,2821.0,2
62,type,0.0,2
