,feature,importance,fold
0,gap,2703.5,1
1,mulliken_atom_0,3287.5,1
2,cos_f0,3283.0,1
3,mulliken_atom_1,3015.0,1
4,cos_c1_f1,3268.0,1
5,cos_f0_f1,3388.5,1
6,adN1,3256.0,1
7,cos_f1,3058.5,1
8,adC4,4033.0,1
9,distance_closest_1,3143.0,1
10,cos_c0_f0,3240.5,1
11,max_distance_y,3247.0,1
12,bond_angle_plane,2762.0,1
13,lumo,2601.5,1
14,linkM0,2953.0,1
15,adH1,2605.0,1
16,inv_distPE,2842.5,1
17,inv_distP,2927.5,1
18,homo,2529.0,1
19,dist_O_0_y,2328.0,1
20,dist_C_4_y,2529.5,1
21,dist_O_0_x,2328.0,1
22,dist_C_4_x,2392.0,1
23,cos_c0,2078.0,1
24,mu,2201.5,1
25,mulliken_max,2441.0,1
26,freqs_max,2294.0,1
27,dist_H_4_y,2409.5,1
28,yukawa_O.x,2000.5,1
29,rc_A,2410.5,1
30,yukawa_O.y,1857.0,1
31,dist_H_3_x,2283.5,1
32,molecule_dist_min,2258.5,1
33,cos_c0_c1,1887.0,1
34,dist_H_2_x,2241.0,1
35,dist_H_2_y,2191.0,1
36,dist_H_4_x,2409.5,1
37,bond_angle_axis,2337.0,1
38,min_molecule_atom_1_dist_xyz,2132.5,1
39,dist_H_3_y,2132.5,1
40,dist_C_3_y,2181.0,1
41,freqs_min,2502.5,1
42,dist,2097.0,1
43,linkM1,2618.5,1
44,dist_H_1_y,2281.5,1
45,dist_C_3_x,2103.5,1
46,distH0,2264.0,1
47,dist_H_1_x,2276.5,1
48,molecule_atom_index_0_dist_min_div,1960.0,1
49,dist_H_0_y,1937.0,1
50,roundness_metric,2190.0,1
51,yukawa_H.y,2446.0,1
52,molecule_atom_index_0_dist_min_diff,1691.5,1
53,dist_N_0_x,2124.0,1
54,vander_O.x,1714.0,1
55,molecule_dist_max,2306.5,1
56,rc_B,2149.5,1
57,cos_center0_center1,2098.0,1
58,molecule_type_dist_max,2263.0,1
59,dist_H_0_x,1968.5,1
60,vander_O.y,1624.5,1
61,distance_center1,2017.5,1
62,type,0.0,1
0,gap,2742.5,2
1,mulliken_atom_0,3291.0,2
2,cos_f0,3225.0,2
3,mulliken_atom_1,3021.0,2
4,cos_c1_f1,3163.5,2
5,cos_f0_f1,3414.0,2
6,adN1,3236.0,2
7,cos_f1,3045.0,2
8,adC4,3895.0,2
9,distance_closest_1,3053.5,2
10,cos_c0_f0,3194.0,2
11,max_distance_y,3150.0,2
12,bond_angle_plane,2762.0,2
13,lumo,2556.5,2
14,linkM0,2839.0,2
15,adH1,2692.0,2
16,inv_distPE,2874.5,2
17,inv_distP,2810.5,2
18,homo,2562.0,2
19,dist_O_0_y,2303.5,2
20,dist_C_4_y,2541.0,2
21,dist_O_0_x,2293.0,2
22,dist_C_4_x,2386.0,2
23,cos_c0,2000.0,2
24,mu,2199.5,2
25,mulliken_max,2472.0,2
26,freqs_max,2250.0,2
27,dist_H_4_y,2367.5,2
28,yukawa_O.x,1963.0,2
29,rc_A,2332.5,2
30,yukawa_O.y,1864.5,2
31,dist_H_3_x,2236.0,2
32,molecule_dist_min,2224.5,2
33,cos_c0_c1,1900.0,2
34,dist_H_2_x,2273.0,2
35,dist_H_2_y,2193.0,2
36,dist_H_4_x,2350.0,2
37,bond_angle_axis,2295.0,2
38,min_molecule_atom_1_dist_xyz,2136.5,2
39,dist_H_3_y,2110.0,2
40,dist_C_3_y,2119.5,2
41,freqs_min,2491.0,2
42,dist,2129.5,2
43,linkM1,2624.5,2
44,dist_H_1_y,2268.5,2
45,dist_C_3_x,2057.0,2
46,distH0,2312.0,2
47,dist_H_1_x,2296.0,2
48,molecule_atom_index_0_dist_min_div,1913.0,2
49,dist_H_0_y,1944.5,2
50,roundness_metric,2126.0,2
51,yukawa_H.y,2510.5,2
52,molecule_atom_index_0_dist_min_diff,1726.0,2
53,dist_N_0_x,2118.5,2
54,vander_O.x,1673.0,2
55,molecule_dist_max,2333.5,2
56,rc_B,2107.0,2
57,cos_center0_center1,2202.0,2
58,molecule_type_dist_max,2320.0,2
59,dist_H_0_x,2161.5,2
60,vander_O.y,1664.5,2
61,distance_center1,2133.0,2
62,type,0.0,2
