,feature,importance,fold
0,cos_c0,4043.5,1
1,cos_c0_c1,3659.5,1
2,adC3,3444.0,1
3,adH1,2526.5,1
4,cos_c0_f0,2705.5,1
5,dist_C_4_x,2768.5,1
6,dist_O_0_x,2866.0,1
7,linkM0,2654.0,1
8,adC4,2766.0,1
9,bond_angle_axis,2613.0,1
10,dist_C_3_x,2476.5,1
11,dist_O_0_y,2862.5,1
12,dist_C_4_y,2692.5,1
13,dist_H_4_x,2642.0,1
14,bond_angle_plane,2566.0,1
15,cos_center0_center1,2638.0,1
16,gap,2204.0,1
17,dist_C_3_y,2693.0,1
18,mu,2398.5,1
19,mulliken_max,2391.5,1
20,dist_H_2_x,2298.5,1
21,dist_H_3_x,2358.0,1
22,mulliken_atom_0,2376.5,1
23,cos_f0,3165.5,1
24,rc_A,2469.5,1
25,max_molecule_atom_0_dist_xyz,2693.5,1
26,cos_c1_f1,3145.5,1
27,dist_C_2_x,2196.5,1
28,homo,2307.5,1
29,mulliken_atom_1,2606.0,1
30,dist_H_0_x,2399.5,1
31,mean_molecule_atom_0_dist_xyz,2497.5,1
32,dist_N_0_x,2130.5,1
33,freqs_min,2225.5,1
34,molecule_atom_index_0_dist_y_min,2154.0,1
35,lumo,2109.0,1
36,dist_H_4_y,2488.5,1
37,cos_f0_f1,2360.0,1
38,molecule_atom_index_0_dist_z_min,2246.5,1
39,rc_C,2096.5,1
40,dist_H_1_x,2120.5,1
41,molecule_atom_index_0_dist_x_min,2223.5,1
42,molecule_atom_index_0_dist_y_min_div,2260.5,1
43,adC1,2772.0,1
44,dist_C_0_y,2308.0,1
45,cos_f1,2713.0,1
46,molecule_type_0_dist_z_min_div,2312.5,1
47,distance_center1,2047.0,1
48,rc_B,1958.5,1
49,inv_dist0E,2068.0,1
50,molecule_type_dist_std_div,3433.0,1
51,molecule_type_0_dist_x_min_div,2415.0,1
52,molecule_atom_index_0_dist_z_min_div,2161.0,1
53,cos_center0,2057.5,1
54,molecule_atom_index_0_dist_x_min_div,2163.0,1
55,dist_C_2_y,2277.5,1
56,molecule_type_0_dist_min,2462.0,1
57,dist_H_3_y,2506.5,1
58,vander_C.y,2714.0,1
59,distance_center0,1918.0,1
60,cos_center1,1993.5,1
61,inv_dist0,2002.0,1
62,type,0.0,1
0,cos_c0,3935.5,2
1,cos_c0_c1,3677.0,2
2,adC3,3453.5,2
3,adH1,2480.0,2
4,cos_c0_f0,2739.0,2
5,dist_C_4_x,2679.5,2
6,dist_O_0_x,2866.5,2
7,linkM0,2533.5,2
8,adC4,2806.0,2
9,bond_angle_axis,2621.0,2
10,dist_C_3_x,2456.5,2
11,dist_O_0_y,2925.5,2
12,dist_C_4_y,2631.5,2
13,dist_H_4_x,2688.5,2
14,bond_angle_plane,2595.0,2
15,cos_center0_center1,2605.5,2
16,gap,2213.5,2
17,dist_C_3_y,2671.0,2
18,mu,2400.5,2
19,mulliken_max,2293.0,2
20,dist_H_2_x,2362.0,2
21,dist_H_3_x,2333.0,2
22,mulliken_atom_0,2408.5,2
23,cos_f0,3239.0,2
24,rc_A,2452.0,2
25,max_molecule_atom_0_dist_xyz,2677.5,2
26,cos_c1_f1,3259.0,2
27,dist_C_2_x,2168.5,2
28,homo,2242.5,2
29,mulliken_atom_1,2602.5,2
30,dist_H_0_x,2297.5,2
31,mean_molecule_atom_0_dist_xyz,2423.5,2
32,dist_N_0_x,2074.0,2
33,freqs_min,2254.0,2
34,molecule_atom_index_0_dist_y_min,2136.5,2
35,lumo,2020.5,2
36,dist_H_4_y,2495.5,2
37,cos_f0_f1,2383.5,2
38,molecule_atom_index_0_dist_z_min,2175.5,2
39,rc_C,1957.0,2
40,dist_H_1_x,2157.5,2
41,molecule_atom_index_0_dist_x_min,2206.0,2
42,molecule_atom_index_0_dist_y_min_div,2278.5,2
43,adC1,2755.5,2
44,dist_C_0_y,2294.0,2
45,cos_f1,2740.5,2
46,molecule_type_0_dist_z_min_div,2433.0,2
47,distance_center1,2101.5,2
48,rc_B,1912.5,2
49,inv_dist0E,2036.0,2
50,molecule_type_dist_std_div,3500.5,2
51,molecule_type_0_dist_x_min_div,2371.5,2
52,molecule_atom_index_0_dist_z_min_div,2132.5,2
53,cos_center0,2040.5,2
54,molecule_atom_index_0_dist_x_min_div,2181.5,2
55,dist_C_2_y,2236.5,2
56,molecule_type_0_dist_min,2437.0,2
57,dist_H_3_y,2362.0,2
58,vander_C.y,2642.0,2
59,distance_center0,1875.0,2
60,cos_center1,1957.5,2
61,inv_dist0,1934.0,2
62,type,0.0,2
