,feature,importance,fold
0,molecule_name,227.5,1
1,id,173.0,1
2,type,0.0,1
3,inv_dist0,272.0,1
4,inv_dist1,157.0,1
5,inv_distP,209.5,1
6,inv_dist0R,265.5,1
7,inv_dist1R,406.0,1
8,inv_distPR,269.0,1
9,inv_dist0E,238.5,1
10,inv_dist1E,120.0,1
11,inv_distPE,185.5,1
12,linkM0,526.0,1
13,linkM1,321.5,1
14,min_molecule_atom_0_dist_xyz,205.0,1
15,mean_molecule_atom_0_dist_xyz,145.5,1
16,max_molecule_atom_0_dist_xyz,253.0,1
17,sd_molecule_atom_0_dist_xyz,191.5,1
18,min_molecule_atom_1_dist_xyz,300.5,1
19,mean_molecule_atom_1_dist_xyz,89.5,1
20,max_molecule_atom_1_dist_xyz,91.5,1
21,sd_molecule_atom_1_dist_xyz,188.0,1
22,coulomb_C.x,185.0,1
23,coulomb_F.x,1.5,1
24,coulomb_H.x,166.0,1
25,coulomb_N.x,136.5,1
26,coulomb_O.x,169.0,1
27,yukawa_C.x,216.0,1
28,yukawa_F.x,0.5,1
29,yukawa_H.x,235.0,1
30,yukawa_N.x,172.0,1
31,yukawa_O.x,269.5,1
32,vander_C.x,221.5,1
33,vander_F.x,1.0,1
34,vander_H.x,226.0,1
35,vander_N.x,247.5,1
36,vander_O.x,211.0,1
37,coulomb_C.y,153.0,1
38,coulomb_F.y,0.5,1
39,coulomb_H.y,164.0,1
40,coulomb_N.y,70.0,1
41,coulomb_O.y,129.0,1
42,yukawa_C.y,160.0,1
43,yukawa_F.y,2.0,1
44,yukawa_H.y,175.0,1
45,yukawa_N.y,79.5,1
46,yukawa_O.y,156.0,1
47,vander_C.y,316.5,1
48,vander_F.y,1.5,1
49,vander_H.y,162.0,1
50,vander_N.y,74.5,1
51,vander_O.y,150.0,1
52,distC0,0.0,1
53,distH0,0.0,1
54,distN0,260.0,1
55,distC1,0.0,1
56,distH1,0.0,1
57,distN1,183.0,1
58,adH1,344.5,1
59,adH2,64.5,1
60,adH3,5.0,1
61,adH4,16.5,1
62,adC1,496.0,1
63,adC2,530.0,1
64,adC3,412.0,1
65,adC4,235.5,1
66,adN1,236.5,1
67,adN2,64.5,1
68,adN3,11.0,1
69,adN4,0.0,1
70,NC,5.0,1
71,NH,4.0,1
72,NN,1.0,1
73,NF,0.5,1
74,NO,14.0,1
75,atom_index_0,36.0,1
76,atom_index_1,30.5,1
77,atom_0,0.0,1
78,x_0,119.5,1
79,y_0,84.0,1
80,z_0,118.0,1
81,dist_C_0_x,267.0,1
82,dist_C_1_x,312.5,1
83,dist_C_2_x,370.5,1
84,dist_C_3_x,515.0,1
85,dist_C_4_x,511.0,1
86,dist_F_0_x,8.0,1
87,dist_F_1_x,0.0,1
88,dist_F_2_x,0.0,1
89,dist_F_3_x,0.0,1
90,dist_F_4_x,0.0,1
91,dist_H_0_x,272.0,1
92,dist_H_1_x,393.0,1
93,dist_H_2_x,389.5,1
94,dist_H_3_x,383.0,1
95,dist_H_4_x,446.5,1
96,dist_N_0_x,276.0,1
97,dist_N_1_x,314.0,1
98,dist_N_2_x,142.5,1
99,dist_N_3_x,51.0,1
100,dist_N_4_x,5.0,1
101,dist_O_0_x,545.5,1
102,dist_O_1_x,210.5,1
103,dist_O_2_x,20.5,1
104,dist_O_3_x,0.0,1
105,dist_O_4_x,0.0,1
106,atom_1,0.0,1
107,x_1,46.5,1
108,y_1,35.0,1
109,z_1,46.5,1
110,dist_C_0_y,276.5,1
111,dist_C_1_y,244.0,1
112,dist_C_2_y,402.5,1
113,dist_C_3_y,486.0,1
114,dist_C_4_y,502.5,1
115,dist_F_0_y,3.5,1
116,dist_F_1_y,0.0,1
117,dist_F_2_y,0.0,1
118,dist_F_3_y,0.0,1
119,dist_F_4_y,0.0,1
120,dist_H_0_y,269.0,1
121,dist_H_1_y,168.0,1
122,dist_H_2_y,253.5,1
123,dist_H_3_y,347.0,1
124,dist_H_4_y,344.5,1
125,dist_N_0_y,383.0,1
126,dist_N_1_y,153.0,1
127,dist_N_2_y,21.0,1
128,dist_N_3_y,3.0,1
129,dist_N_4_y,0.0,1
130,dist_O_0_y,431.0,1
131,dist_O_1_y,199.5,1
132,dist_O_2_y,11.0,1
133,dist_O_3_y,0.0,1
134,dist_O_4_y,0.0,1
135,c_x,184.5,1
136,c_y,199.0,1
137,c_z,190.0,1
138,dist,85.5,1
139,dist_x,107.0,1
140,dist_y,80.0,1
141,dist_z,73.5,1
142,type_0,0.0,1
143,molecule_couples,122.0,1
144,molecule_dist_mean,312.5,1
145,molecule_dist_min,201.5,1
146,molecule_dist_max,350.0,1
147,molecule_dist_std,360.5,1
148,atom_0_couples_count,14.0,1
149,atom_1_couples_count,12.0,1
150,molecule_atom_index_0_count,54.0,1
151,molecule_atom_index_1_count,20.5,1
152,molecule_type_count,8.0,1
153,molecule_atom_1_count,3.5,1
154,molecule_type_0_count,2.0,1
155,molecule_atom_index_0_x_1_mean,101.5,1
156,molecule_atom_index_0_x_1_mean_diff,182.0,1
157,molecule_atom_index_0_x_1_mean_div,245.0,1
158,molecule_atom_index_0_x_1_max,131.0,1
159,molecule_atom_index_0_x_1_max_diff,129.0,1
160,molecule_atom_index_0_x_1_max_div,119.5,1
161,molecule_atom_index_0_x_1_std,211.5,1
162,molecule_atom_index_0_x_1_std_diff,87.5,1
163,molecule_atom_index_0_x_1_std_div,116.5,1
164,molecule_atom_index_0_x_1_min,139.0,1
165,molecule_atom_index_0_x_1_min_diff,150.0,1
166,molecule_atom_index_0_x_1_min_div,91.5,1
167,molecule_atom_index_0_y_1_mean,89.5,1
168,molecule_atom_index_0_y_1_mean_diff,130.5,1
169,molecule_atom_index_0_y_1_mean_div,198.0,1
170,molecule_atom_index_0_y_1_max,100.5,1
171,molecule_atom_index_0_y_1_max_diff,115.5,1
172,molecule_atom_index_0_y_1_max_div,127.5,1
173,molecule_atom_index_0_y_1_std,255.5,1
174,molecule_atom_index_0_y_1_std_diff,84.0,1
175,molecule_atom_index_0_y_1_std_div,122.0,1
176,molecule_atom_index_0_y_1_min,98.0,1
177,molecule_atom_index_0_y_1_min_diff,163.5,1
178,molecule_atom_index_0_y_1_min_div,104.5,1
179,molecule_atom_index_0_z_1_mean,164.5,1
180,molecule_atom_index_0_z_1_mean_diff,169.5,1
181,molecule_atom_index_0_z_1_mean_div,325.0,1
182,molecule_atom_index_0_z_1_max,158.0,1
183,molecule_atom_index_0_z_1_max_diff,134.0,1
184,molecule_atom_index_0_z_1_max_div,118.5,1
185,molecule_atom_index_0_z_1_std,139.5,1
186,molecule_atom_index_0_z_1_std_diff,101.5,1
187,molecule_atom_index_0_z_1_std_div,183.0,1
188,molecule_atom_index_0_z_1_min,175.0,1
189,molecule_atom_index_0_z_1_min_diff,114.0,1
190,molecule_atom_index_0_z_1_min_div,155.0,1
191,molecule_atom_index_0_dist_mean,61.5,1
192,molecule_atom_index_0_dist_mean_diff,120.0,1
193,molecule_atom_index_0_dist_mean_div,142.0,1
194,molecule_atom_index_0_dist_max,104.0,1
195,molecule_atom_index_0_dist_max_diff,157.0,1
196,molecule_atom_index_0_dist_max_div,212.0,1
197,molecule_atom_index_0_dist_std,78.0,1
198,molecule_atom_index_0_dist_std_diff,150.0,1
199,molecule_atom_index_0_dist_std_div,135.5,1
200,molecule_atom_index_0_dist_min,24.0,1
201,molecule_atom_index_0_dist_min_diff,0.0,1
202,molecule_atom_index_0_dist_min_div,0.0,1
203,molecule_atom_index_0_dist_x_mean,142.5,1
204,molecule_atom_index_0_dist_x_mean_diff,122.5,1
205,molecule_atom_index_0_dist_x_mean_div,118.0,1
206,molecule_atom_index_0_dist_x_max,113.0,1
207,molecule_atom_index_0_dist_x_max_diff,116.5,1
208,molecule_atom_index_0_dist_x_max_div,117.0,1
209,molecule_atom_index_0_dist_x_std,121.5,1
210,molecule_atom_index_0_dist_x_std_diff,146.5,1
211,molecule_atom_index_0_dist_x_std_div,131.0,1
212,molecule_atom_index_0_dist_x_min,299.5,1
213,molecule_atom_index_0_dist_x_min_diff,132.5,1
214,molecule_atom_index_0_dist_x_min_div,226.0,1
215,molecule_atom_index_0_dist_y_mean,152.0,1
216,molecule_atom_index_0_dist_y_mean_diff,147.0,1
217,molecule_atom_index_0_dist_y_mean_div,143.0,1
218,molecule_atom_index_0_dist_y_max,163.5,1
219,molecule_atom_index_0_dist_y_max_diff,144.5,1
220,molecule_atom_index_0_dist_y_max_div,120.0,1
221,molecule_atom_index_0_dist_y_std,163.5,1
222,molecule_atom_index_0_dist_y_std_diff,161.5,1
223,molecule_atom_index_0_dist_y_std_div,129.5,1
224,molecule_atom_index_0_dist_y_min,331.0,1
225,molecule_atom_index_0_dist_y_min_diff,139.5,1
226,molecule_atom_index_0_dist_y_min_div,185.0,1
227,molecule_atom_index_0_dist_z_mean,108.5,1
228,molecule_atom_index_0_dist_z_mean_diff,98.5,1
229,molecule_atom_index_0_dist_z_mean_div,135.5,1
230,molecule_atom_index_0_dist_z_max,77.0,1
231,molecule_atom_index_0_dist_z_max_diff,62.0,1
232,molecule_atom_index_0_dist_z_max_div,113.0,1
233,molecule_atom_index_0_dist_z_std,75.5,1
234,molecule_atom_index_0_dist_z_std_diff,113.0,1
235,molecule_atom_index_0_dist_z_std_div,131.5,1
236,molecule_atom_index_0_dist_z_min,242.5,1
237,molecule_atom_index_0_dist_z_min_diff,124.5,1
238,molecule_atom_index_0_dist_z_min_div,228.0,1
239,molecule_atom_index_1_x_1_mean,10.5,1
240,molecule_atom_index_1_x_1_mean_diff,24.0,1
241,molecule_atom_index_1_x_1_mean_div,0.0,1
242,molecule_atom_index_1_x_1_max,4.5,1
243,molecule_atom_index_1_x_1_max_diff,0.0,1
244,molecule_atom_index_1_x_1_max_div,0.0,1
245,molecule_atom_index_1_x_1_std,0.0,1
246,molecule_atom_index_1_x_1_std_diff,91.0,1
247,molecule_atom_index_1_x_1_std_div,0.0,1
248,molecule_atom_index_1_x_1_min,2.0,1
249,molecule_atom_index_1_x_1_min_diff,0.0,1
250,molecule_atom_index_1_x_1_min_div,0.0,1
251,molecule_atom_index_1_y_1_mean,8.5,1
252,molecule_atom_index_1_y_1_mean_diff,9.5,1
253,molecule_atom_index_1_y_1_mean_div,0.0,1
254,molecule_atom_index_1_y_1_max,5.0,1
255,molecule_atom_index_1_y_1_max_diff,0.0,1
256,molecule_atom_index_1_y_1_max_div,0.0,1
257,molecule_atom_index_1_y_1_std,0.0,1
258,molecule_atom_index_1_y_1_std_diff,72.5,1
259,molecule_atom_index_1_y_1_std_div,0.0,1
260,molecule_atom_index_1_y_1_min,2.5,1
261,molecule_atom_index_1_y_1_min_diff,0.0,1
262,molecule_atom_index_1_y_1_min_div,0.0,1
263,molecule_atom_index_1_z_1_mean,17.5,1
264,molecule_atom_index_1_z_1_mean_diff,20.5,1
265,molecule_atom_index_1_z_1_mean_div,0.0,1
266,molecule_atom_index_1_z_1_max,8.5,1
267,molecule_atom_index_1_z_1_max_diff,0.0,1
268,molecule_atom_index_1_z_1_max_div,0.0,1
269,molecule_atom_index_1_z_1_std,0.0,1
270,molecule_atom_index_1_z_1_std_diff,85.0,1
271,molecule_atom_index_1_z_1_std_div,0.0,1
272,molecule_atom_index_1_z_1_min,1.5,1
273,molecule_atom_index_1_z_1_min_diff,0.0,1
274,molecule_atom_index_1_z_1_min_div,0.0,1
275,molecule_atom_index_1_dist_mean,29.5,1
276,molecule_atom_index_1_dist_mean_diff,62.5,1
277,molecule_atom_index_1_dist_mean_div,72.5,1
278,molecule_atom_index_1_dist_max,40.5,1
279,molecule_atom_index_1_dist_max_diff,52.5,1
280,molecule_atom_index_1_dist_max_div,98.5,1
281,molecule_atom_index_1_dist_std,75.5,1
282,molecule_atom_index_1_dist_std_diff,155.0,1
283,molecule_atom_index_1_dist_std_div,90.0,1
284,molecule_atom_index_1_dist_min,111.5,1
285,molecule_atom_index_1_dist_min_diff,61.5,1
286,molecule_atom_index_1_dist_min_div,35.0,1
287,molecule_atom_index_1_dist_x_mean,119.0,1
288,molecule_atom_index_1_dist_x_mean_diff,128.0,1
289,molecule_atom_index_1_dist_x_mean_div,97.0,1
290,molecule_atom_index_1_dist_x_max,90.5,1
291,molecule_atom_index_1_dist_x_max_diff,93.5,1
292,molecule_atom_index_1_dist_x_max_div,80.5,1
293,molecule_atom_index_1_dist_x_std,155.5,1
294,molecule_atom_index_1_dist_x_std_diff,165.5,1
295,molecule_atom_index_1_dist_x_std_div,143.0,1
296,molecule_atom_index_1_dist_x_min,186.5,1
297,molecule_atom_index_1_dist_x_min_diff,99.0,1
298,molecule_atom_index_1_dist_x_min_div,120.5,1
