,feature,importance,fold
0,molecule_name,665.0,1
1,id,494.0,1
2,type,0.0,1
3,inv_dist0,1191.0,1
4,inv_dist1,735.0,1
5,inv_distP,724.5,1
6,inv_dist0R,1946.0,1
7,inv_dist1R,1206.0,1
8,inv_distPR,1416.5,1
9,inv_dist0E,1136.0,1
10,inv_dist1E,900.0,1
11,inv_distPE,839.0,1
12,linkM0,1947.0,1
13,linkM1,1649.0,1
14,min_molecule_atom_0_dist_xyz,1609.5,1
15,mean_molecule_atom_0_dist_xyz,1586.5,1
16,max_molecule_atom_0_dist_xyz,1920.0,1
17,sd_molecule_atom_0_dist_xyz,1162.5,1
18,min_molecule_atom_1_dist_xyz,1993.0,1
19,mean_molecule_atom_1_dist_xyz,819.5,1
20,max_molecule_atom_1_dist_xyz,1426.5,1
21,sd_molecule_atom_1_dist_xyz,946.5,1
22,coulomb_C.x,751.0,1
23,coulomb_F.x,7.5,1
24,coulomb_H.x,456.5,1
25,coulomb_N.x,402.0,1
26,coulomb_O.x,1068.0,1
27,yukawa_C.x,1111.0,1
28,yukawa_F.x,26.5,1
29,yukawa_H.x,933.5,1
30,yukawa_N.x,659.0,1
31,yukawa_O.x,1621.5,1
32,vander_C.x,1024.5,1
33,vander_F.x,11.0,1
34,vander_H.x,1173.0,1
35,vander_N.x,520.5,1
36,vander_O.x,1387.5,1
37,coulomb_C.y,973.0,1
38,coulomb_F.y,12.0,1
39,coulomb_H.y,469.5,1
40,coulomb_N.y,575.0,1
41,coulomb_O.y,1182.0,1
42,yukawa_C.y,1610.5,1
43,yukawa_F.y,18.0,1
44,yukawa_H.y,736.5,1
45,yukawa_N.y,762.5,1
46,yukawa_O.y,1571.0,1
47,vander_C.y,1866.5,1
48,vander_F.y,13.5,1
49,vander_H.y,530.5,1
50,vander_N.y,865.0,1
51,vander_O.y,1627.0,1
52,distC0,1950.0,1
53,distH0,0.0,1
54,distN0,0.0,1
55,distC1,1119.5,1
56,distH1,0.0,1
57,distN1,0.0,1
58,adH1,2784.5,1
59,adH2,1336.0,1
60,adH3,377.5,1
61,adH4,98.5,1
62,adC1,1965.0,1
63,adC2,4127.0,1
64,adC3,4350.5,1
65,adC4,3732.0,1
66,adN1,2583.5,1
67,adN2,534.0,1
68,adN3,49.5,1
69,adN4,5.5,1
70,NC,23.0,1
71,NH,31.0,1
72,NN,40.0,1
73,NF,1.5,1
74,NO,40.5,1
75,atom_index_0,306.0,1
76,atom_index_1,436.5,1
77,atom_0,0.0,1
78,x_0,850.0,1
79,y_0,808.5,1
80,z_0,830.5,1
81,dist_C_0_x,815.0,1
82,dist_C_1_x,927.0,1
83,dist_C_2_x,1017.5,1
84,dist_C_3_x,1127.5,1
85,dist_C_4_x,1241.5,1
86,dist_F_0_x,7.0,1
87,dist_F_1_x,2.5,1
88,dist_F_2_x,1.0,1
89,dist_F_3_x,0.0,1
90,dist_F_4_x,0.0,1
91,dist_H_0_x,1620.0,1
92,dist_H_1_x,1298.0,1
93,dist_H_2_x,1264.5,1
94,dist_H_3_x,1264.0,1
95,dist_H_4_x,1283.0,1
96,dist_N_0_x,831.5,1
97,dist_N_1_x,320.0,1
98,dist_N_2_x,88.0,1
99,dist_N_3_x,16.0,1
100,dist_N_4_x,1.5,1
101,dist_O_0_x,1374.5,1
102,dist_O_1_x,1262.5,1
103,dist_O_2_x,301.5,1
104,dist_O_3_x,15.5,1
105,dist_O_4_x,0.0,1
106,atom_1,0.0,1
107,x_1,292.0,1
108,y_1,305.0,1
109,z_1,300.5,1
110,dist_C_0_y,1231.0,1
111,dist_C_1_y,926.0,1
112,dist_C_2_y,1151.5,1
113,dist_C_3_y,1315.5,1
114,dist_C_4_y,1454.0,1
115,dist_F_0_y,10.5,1
116,dist_F_1_y,4.5,1
117,dist_F_2_y,2.5,1
