,feature,importance,fold
0,molecule_name,875.5,1
1,id,590.0,1
2,type,0.0,1
3,inv_dist0,980.5,1
4,inv_dist1,533.0,1
5,inv_distP,891.0,1
6,inv_dist0R,949.0,1
7,inv_dist1R,335.5,1
8,inv_distPR,759.5,1
9,inv_dist0E,974.0,1
10,inv_dist1E,390.5,1
11,inv_distPE,955.0,1
12,linkM0,1757.0,1
13,linkM1,1109.0,1
14,min_molecule_atom_0_dist_xyz,831.0,1
15,mean_molecule_atom_0_dist_xyz,1240.0,1
16,max_molecule_atom_0_dist_xyz,1436.5,1
17,sd_molecule_atom_0_dist_xyz,1102.5,1
18,min_molecule_atom_1_dist_xyz,955.0,1
19,mean_molecule_atom_1_dist_xyz,934.5,1
20,max_molecule_atom_1_dist_xyz,1104.0,1
21,sd_molecule_atom_1_dist_xyz,948.5,1
22,coulomb_C.x,896.5,1
23,coulomb_F.x,1.0,1
24,coulomb_H.x,643.0,1
25,coulomb_N.x,340.5,1
26,coulomb_O.x,942.5,1
27,yukawa_C.x,898.5,1
28,yukawa_F.x,0.5,1
29,yukawa_H.x,856.5,1
30,yukawa_N.x,422.0,1
31,yukawa_O.x,1237.5,1
32,vander_C.x,938.5,1
33,vander_F.x,1.0,1
34,vander_H.x,861.5,1
35,vander_N.x,341.0,1
36,vander_O.x,987.0,1
37,coulomb_C.y,1091.0,1
38,coulomb_F.y,0.0,1
39,coulomb_H.y,652.0,1
40,coulomb_N.y,399.5,1
41,coulomb_O.y,952.5,1
42,yukawa_C.y,1442.5,1
43,yukawa_F.y,1.0,1
44,yukawa_H.y,1024.5,1
45,yukawa_N.y,542.5,1
46,yukawa_O.y,1304.5,1
47,vander_C.y,1519.5,1
48,vander_F.y,1.0,1
49,vander_H.y,961.5,1
50,vander_N.y,492.5,1
51,vander_O.y,1148.5,1
52,distC0,0.0,1
53,distH0,1350.5,1
54,distN0,0.0,1
55,distC1,0.0,1
56,distH1,1079.0,1
57,distN1,0.0,1
58,adH1,2238.5,1
59,adH2,943.0,1
60,adH3,174.5,1
61,adH4,20.0,1
62,adC1,983.5,1
63,adC2,1810.5,1
64,adC3,2078.0,1
65,adC4,2276.0,1
66,adN1,1328.5,1
67,adN2,199.5,1
68,adN3,7.0,1
69,adN4,0.0,1
70,NC,37.5,1
71,NH,45.5,1
72,NN,56.0,1
73,NF,0.0,1
74,NO,68.0,1
75,atom_index_0,206.5,1
76,atom_index_1,192.5,1
77,atom_0,0.0,1
78,x_0,735.5,1
79,y_0,627.5,1
80,z_0,824.5,1
81,dist_C_0_x,890.5,1
82,dist_C_1_x,1128.0,1
83,dist_C_2_x,1058.0,1
84,dist_C_3_x,1374.0,1
85,dist_C_4_x,1623.0,1
86,dist_F_0_x,4.0,1
87,dist_F_1_x,1.5,1
88,dist_F_2_x,0.0,1
89,dist_F_3_x,0.0,1
90,dist_F_4_x,0.0,1
91,dist_H_0_x,980.0,1
92,dist_H_1_x,1017.5,1
93,dist_H_2_x,1157.0,1
94,dist_H_3_x,1318.5,1
95,dist_H_4_x,1380.5,1
96,dist_N_0_x,1063.5,1
