,feature,importance,fold
0,adC2,7183.25,1
1,adC3,7825.0,1
2,adC1,6943.625,1
3,mulliken_atom_0,6555.75,1
4,mulliken_atom_1,6237.0,1
5,adC4,6428.5,1
6,cos_c0_f0,5670.625,1
7,adH1,7093.875,1
8,adN1,6715.75,1
9,linkM0,6146.375,1
10,linkM1,6372.5,1
11,distC0,5284.875,1
12,vander_O.y,3708.25,1
13,bond_angle_plane,6310.875,1
14,inv_dist1R,3268.375,1
15,max_molecule_atom_0_dist_xyz,4252.75,1
16,cos_center1,3778.125,1
17,yukawa_O.y,2809.875,1
18,cos_f0,1623.0,1
19,yukawa_O.x,3415.125,1
20,cos_c0_c1,5048.625,1
21,flatness_metric,5555.75,1
22,cos_f0_f1,5372.625,1
23,freqs_min,5956.0,1
24,gap,4986.25,1
25,cos_f1,4690.25,1
26,vander_O.x,2583.375,1
27,cos_center0,3731.5,1
28,homo,5903.75,1
29,molecule_atom_index_0_dist_max_div,4010.875,1
30,mulliken_max,5863.75,1
31,lumo,4702.625,1
32,adH2,3957.125,1
33,inv_distPR,2461.875,1
34,rc_A,6231.0,1
35,bond_angle_axis,5802.25,1
36,dist_H_1_x,4477.75,1
37,rc_C,4377.875,1
38,inv_dist0R,3044.5,1
39,cos_c1_f1,3990.0,1
40,distC1,4368.625,1
41,dist_C_4_y,6283.125,1
42,cos_center0_center1,4167.5,1
43,min_molecule_atom_1_dist_xyz,3463.125,1
44,dist_O_0_x,6560.0,1
45,dist_H_2_x,4826.875,1
46,dist_H_0_y,4676.125,1
47,inv_dist1,3709.25,1
48,yukawa_C.y,3163.875,1
49,yukawa_C.x,3836.875,1
50,distance_center1,4320.75,1
51,dist_C_4_x,5245.25,1
52,dist_H_4_x,5514.5,1
53,dist_C_3_y,5144.75,1
54,mu,5382.875,1
55,inv_dist0E,4071.0,1
56,min_molecule_atom_0_dist_xyz,2041.125,1
57,vander_C.y,2762.0,1
58,freqs_max,5723.5,1
59,yukawa_H.x,4019.375,1
60,inv_dist0,3618.625,1
61,dist_H_3_x,4859.125,1
62,rc_B,4409.625,1
63,yukawa_H.y,3847.625,1
64,type,0.0,1
0,adC2,7156.875,2
1,adC3,8020.125,2
2,adC1,6984.5,2
3,mulliken_atom_0,6659.125,2
4,mulliken_atom_1,6270.5,2
5,adC4,6566.625,2
6,cos_c0_f0,5812.5,2
7,adH1,7136.125,2
8,adN1,6688.25,2
9,linkM0,6198.25,2
10,linkM1,6433.75,2
11,distC0,5397.625,2
12,vander_O.y,3730.125,2
13,bond_angle_plane,6386.125,2
14,inv_dist1R,3225.625,2
15,max_molecule_atom_0_dist_xyz,4332.625,2
16,cos_center1,3852.625,2
17,yukawa_O.y,2884.5,2
18,cos_f0,1626.25,2
19,yukawa_O.x,3474.125,2
20,cos_c0_c1,5281.25,2
21,flatness_metric,5612.125,2
22,cos_f0_f1,5436.375,2
23,freqs_min,6115.875,2
24,gap,5135.75,2
25,cos_f1,4774.125,2
26,vander_O.x,2615.25,2
27,cos_center0,3803.5,2
28,homo,5948.125,2
29,molecule_atom_index_0_dist_max_div,4019.5,2
30,mulliken_max,6014.125,2
31,lumo,4795.375,2
32,adH2,3961.875,2
33,inv_distPR,2503.25,2
34,rc_A,6323.25,2
35,bond_angle_axis,5850.75,2
36,dist_H_1_x,4423.25,2
37,rc_C,4424.25,2
38,inv_dist0R,3073.25,2
39,cos_c1_f1,4077.75,2
40,distC1,4377.375,2
41,dist_C_4_y,6431.125,2
42,cos_center0_center1,4258.125,2
43,min_molecule_atom_1_dist_xyz,3477.375,2
44,dist_O_0_x,6723.375,2
45,dist_H_2_x,4857.75,2
46,dist_H_0_y,4724.5,2
47,inv_dist1,3798.75,2
48,yukawa_C.y,3247.625,2
49,yukawa_C.x,3926.875,2
50,distance_center1,4386.5,2
51,dist_C_4_x,5340.125,2
52,dist_H_4_x,5599.375,2
53,dist_C_3_y,5169.875,2
54,mu,5429.375,2
55,inv_dist0E,4050.375,2
56,min_molecule_atom_0_dist_xyz,2005.0,2
57,vander_C.y,2783.625,2
58,freqs_max,5702.0,2
59,yukawa_H.x,4013.625,2
60,inv_dist0,3648.25,2
61,dist_H_3_x,5006.75,2
62,rc_B,4505.625,2
63,yukawa_H.y,3954.75,2
64,type,0.0,2
0,adC2,7214.875,3
1,adC3,8091.5,3
2,adC1,7019.125,3
3,mulliken_atom_0,6632.125,3
4,mulliken_atom_1,6282.0,3
5,adC4,6535.0,3
6,cos_c0_f0,5790.75,3
7,adH1,7130.25,3
8,adN1,6692.625,3
9,linkM0,6318.0,3
10,linkM1,6430.5,3
11,distC0,5446.25,3
12,vander_O.y,3820.5,3
13,bond_angle_plane,6480.625,3
14,inv_dist1R,3245.5,3
15,max_molecule_atom_0_dist_xyz,4302.25,3
16,cos_center1,3870.625,3
17,yukawa_O.y,2911.5,3
18,cos_f0,1656.0,3
19,yukawa_O.x,3566.0,3
20,cos_c0_c1,5279.875,3
21,flatness_metric,5689.0,3
22,cos_f0_f1,5420.125,3
23,freqs_min,6130.5,3
24,gap,5117.125,3
25,cos_f1,4816.0,3
26,vander_O.x,2676.5,3
27,cos_center0,3867.25,3
28,homo,5937.125,3
29,molecule_atom_index_0_dist_max_div,4020.25,3
30,mulliken_max,6051.125,3
31,lumo,4820.125,3
32,adH2,4073.5,3
33,inv_distPR,2483.0,3
34,rc_A,6411.75,3
35,bond_angle_axis,5854.625,3
36,dist_H_1_x,4427.125,3
37,rc_C,4475.625,3
38,inv_dist0R,3131.125,3
39,cos_c1_f1,4113.125,3
40,distC1,4460.75,3
41,dist_C_4_y,6543.625,3
42,cos_center0_center1,4321.5,3
43,min_molecule_atom_1_dist_xyz,3479.875,3
44,dist_O_0_x,6834.125,3
45,dist_H_2_x,4883.875,3
46,dist_H_0_y,4777.25,3
47,inv_dist1,3807.75,3
48,yukawa_C.y,3259.5,3
49,yukawa_C.x,3910.625,3
50,distance_center1,4436.375,3
51,dist_C_4_x,5477.5,3
52,dist_H_4_x,5694.875,3
53,dist_C_3_y,5252.875,3
54,mu,5543.0,3
55,inv_dist0E,4127.375,3
56,min_molecule_atom_0_dist_xyz,2038.625,3
57,vander_C.y,2774.75,3
58,freqs_max,5757.625,3
59,yukawa_H.x,4125.125,3
60,inv_dist0,3644.25,3
61,dist_H_3_x,5043.375,3
62,rc_B,4493.625,3
63,yukawa_H.y,3983.25,3
64,type,0.0,3
0,adC2,7130.625,4
1,adC3,7992.375,4
2,adC1,7006.75,4
3,mulliken_atom_0,6745.625,4
4,mulliken_atom_1,6320.375,4
5,adC4,6551.375,4
6,cos_c0_f0,5806.0,4
7,adH1,7078.625,4
8,adN1,6689.25,4
9,linkM0,6296.375,4
10,linkM1,6420.0,4
11,distC0,5453.0,4
12,vander_O.y,3780.375,4
13,bond_angle_plane,6416.125,4
14,inv_dist1R,3246.25,4
15,max_molecule_atom_0_dist_xyz,4294.75,4
16,cos_center1,3862.25,4
17,yukawa_O.y,2900.0,4
18,cos_f0,1654.625,4
19,yukawa_O.x,3495.0,4
20,cos_c0_c1,5202.625,4
21,flatness_metric,5603.5,4
22,cos_f0_f1,5444.375,4
23,freqs_min,6098.875,4
24,gap,5092.375,4
25,cos_f1,4749.5,4
26,vander_O.x,2628.75,4
27,cos_center0,3829.75,4
28,homo,5967.25,4
29,molecule_atom_index_0_dist_max_div,4057.25,4
30,mulliken_max,6028.75,4
31,lumo,4778.25,4
32,adH2,4015.75,4
33,inv_distPR,2513.375,4
34,rc_A,6302.875,4
35,bond_angle_axis,5808.625,4
36,dist_H_1_x,4461.125,4
37,rc_C,4416.25,4
38,inv_dist0R,3124.75,4
39,cos_c1_f1,4067.125,4
40,distC1,4393.5,4
41,dist_C_4_y,6448.75,4
42,cos_center0_center1,4242.625,4
43,min_molecule_atom_1_dist_xyz,3487.125,4
44,dist_O_0_x,6818.75,4
45,dist_H_2_x,4858.25,4
46,dist_H_0_y,4741.25,4
47,inv_dist1,3746.25,4
48,yukawa_C.y,3230.25,4
49,yukawa_C.x,3887.375,4
50,distance_center1,4366.5,4
51,dist_C_4_x,5347.0,4
52,dist_H_4_x,5618.875,4
53,dist_C_3_y,5204.5,4
54,mu,5396.375,4
55,inv_dist0E,4080.625,4
56,min_molecule_atom_0_dist_xyz,2055.75,4
57,vander_C.y,2782.25,4
58,freqs_max,5742.25,4
59,yukawa_H.x,4014.375,4
60,inv_dist0,3657.125,4
61,dist_H_3_x,5067.625,4
62,rc_B,4489.5,4
63,yukawa_H.y,3933.25,4
64,type,0.0,4
0,adC2,7166.125,5
1,adC3,8071.125,5
2,adC1,6977.875,5
3,mulliken_atom_0,6662.125,5
4,mulliken_atom_1,6247.375,5
5,adC4,6569.875,5
6,cos_c0_f0,5784.125,5
7,adH1,7133.75,5
8,adN1,6665.375,5
9,linkM0,6307.25,5
10,linkM1,6455.75,5
11,distC0,5402.375,5
12,vander_O.y,3845.75,5
13,bond_angle_plane,6392.0,5
14,inv_dist1R,3277.25,5
15,max_molecule_atom_0_dist_xyz,4347.0,5
16,cos_center1,3865.0,5
17,yukawa_O.y,2895.375,5
18,cos_f0,1614.875,5
19,yukawa_O.x,3532.0,5
20,cos_c0_c1,5202.25,5
21,flatness_metric,5698.25,5
22,cos_f0_f1,5427.125,5
23,freqs_min,6051.375,5
24,gap,5083.125,5
25,cos_f1,4775.25,5
26,vander_O.x,2668.875,5
27,cos_center0,3800.625,5
28,homo,5962.625,5
29,molecule_atom_index_0_dist_max_div,4054.0,5
30,mulliken_max,6012.0,5
31,lumo,4740.25,5
32,adH2,4076.875,5
33,inv_distPR,2508.0,5
34,rc_A,6396.25,5
35,bond_angle_axis,5819.875,5
36,dist_H_1_x,4426.5,5
37,rc_C,4455.0,5
38,inv_dist0R,3093.625,5
39,cos_c1_f1,4082.125,5
40,distC1,4427.0,5
41,dist_C_4_y,6453.25,5
42,cos_center0_center1,4306.5,5
43,min_molecule_atom_1_dist_xyz,3472.25,5
44,dist_O_0_x,6753.5,5
45,dist_H_2_x,4832.5,5
46,dist_H_0_y,4739.625,5
47,inv_dist1,3789.375,5
48,yukawa_C.y,3259.375,5
49,yukawa_C.x,3927.875,5
50,distance_center1,4357.125,5
51,dist_C_4_x,5396.0,5
52,dist_H_4_x,5557.625,5
53,dist_C_3_y,5221.375,5
54,mu,5459.25,5
55,inv_dist0E,4067.625,5
56,min_molecule_atom_0_dist_xyz,2029.0,5
57,vander_C.y,2796.375,5
58,freqs_max,5728.75,5
59,yukawa_H.x,4039.75,5
60,inv_dist0,3653.375,5
61,dist_H_3_x,5010.5,5
62,rc_B,4514.625,5
63,yukawa_H.y,3966.75,5
64,type,0.0,5
0,adC2,7194.375,6
1,adC3,7960.625,6
2,adC1,6976.0,6
3,mulliken_atom_0,6647.875,6
4,mulliken_atom_1,6307.5,6
5,adC4,6514.875,6
6,cos_c0_f0,5754.375,6
7,adH1,7132.0,6
8,adN1,6709.625,6
9,linkM0,6254.0,6
10,linkM1,6499.375,6
11,distC0,5514.375,6
12,vander_O.y,3769.625,6
13,bond_angle_plane,6456.5,6
14,inv_dist1R,3305.625,6
15,max_molecule_atom_0_dist_xyz,4295.5,6
16,cos_center1,3889.625,6
17,yukawa_O.y,2826.125,6
18,cos_f0,1647.875,6
19,yukawa_O.x,3453.875,6
20,cos_c0_c1,5253.75,6
21,flatness_metric,5626.875,6
22,cos_f0_f1,5356.125,6
23,freqs_min,6122.0,6
24,gap,5117.625,6
25,cos_f1,4771.75,6
26,vander_O.x,2645.5,6
27,cos_center0,3791.25,6
28,homo,5996.875,6
29,molecule_atom_index_0_dist_max_div,4051.75,6
30,mulliken_max,6045.0,6
31,lumo,4780.0,6
32,adH2,3982.5,6
33,inv_distPR,2460.875,6
34,rc_A,6379.875,6
35,bond_angle_axis,5884.125,6
36,dist_H_1_x,4382.375,6
37,rc_C,4440.875,6
38,inv_dist0R,3041.375,6
39,cos_c1_f1,4115.625,6
40,distC1,4433.0,6
41,dist_C_4_y,6437.375,6
42,cos_center0_center1,4319.75,6
43,min_molecule_atom_1_dist_xyz,3472.125,6
44,dist_O_0_x,6697.75,6
45,dist_H_2_x,4835.5,6
46,dist_H_0_y,4769.75,6
47,inv_dist1,3795.5,6
48,yukawa_C.y,3273.25,6
49,yukawa_C.x,3902.75,6
50,distance_center1,4361.0,6
51,dist_C_4_x,5386.5,6
