,feature,importance,fold
0,cos_c0_c1,1723.125,1
1,adC2,1528.875,1
2,cos_c1,1795.75,1
3,linkM0,1947.375,1
4,dist_O_0_x,1999.0,1
5,cos_c0,1474.5,1
6,adC3,1816.875,1
7,adC4,1910.875,1
8,mulliken_atom_0,1612.125,1
9,dist_C_4_x,1878.875,1
10,cos_f0,1488.125,1
11,adH1,1880.75,1
12,bond_angle_axis,1900.75,1
13,dist_H_4_x,1952.625,1
14,cos_c0_f0,1555.625,1
15,bond_angle_plane,1842.5,1
16,dist_O_0_y,1930.5,1
17,gap,1475.0,1
18,dist_H_3_x,1579.625,1
19,dist_C_3_x,1617.25,1
20,dist_C_4_y,1912.75,1
21,cos_f0_f1,1523.75,1
22,dist_H_2_x,1415.375,1
23,dist_C_3_y,1689.125,1
24,mu,1765.5,1
25,dist_N_0_x,1505.25,1
26,rc_A,1631.75,1
27,cos_f1,1397.0,1
28,mulliken_max,1727.625,1
29,lumo,1380.5,1
30,distance_center1,1319.25,1
31,distance_center0,1186.75,1
32,cos_center0_center1,1239.125,1
33,mulliken_atom_1,1583.5,1
34,max_molecule_atom_0_dist_xyz,1120.75,1
35,molecule_atom_index_0_dist_y_min,1928.875,1
36,dist_C_2_x,1436.5,1
37,homo,1640.625,1
38,molecule_atom_index_0_dist_x_min,1815.0,1
39,dist_H_1_x,1248.875,1
40,molecule_type_0_dist_z_min_div,1718.25,1
41,mean_molecule_atom_0_dist_xyz,1632.75,1
42,cos_center0,1306.625,1
43,molecule_type_0_dist_y_min_div,1913.5,1
44,cos_c1_f1,1372.375,1
45,inv_distPR,1479.5,1
46,molecule_type_0_dist_x_min,1510.625,1
47,inv_dist0,1379.25,1
48,roundness_metric,1713.375,1
49,sd_molecule_atom_0_dist_xyz,1299.0,1
50,vander_H.x,1031.5,1
51,z_farthest_0,1642.25,1
52,molecule_type_0_dist_x_min_div,1692.75,1
53,molecule_type_0_dist_z_min,1494.0,1
54,molecule_atom_index_0_z_1_mean_div,1902.5,1
55,molecule_atom_index_0_dist_x_min_div,1604.375,1
56,yukawa_H.x,957.375,1
57,dist_H_0_x,1058.75,1
58,molecule_atom_index_0_dist_z_min,1801.0,1
59,vander_C.y,1508.0,1
60,molecule_atom_index_0_dist_max_diff,888.125,1
61,molecule_atom_index_0_dist_max_div,917.375,1
62,molecule_type_dist_std_diff,2156.75,1
63,molecule_atom_index_0_dist_z_min_div,1654.875,1
64,type,0.0,1
0,cos_c0_c1,1672.625,2
1,adC2,1542.75,2
2,cos_c1,1850.125,2
3,linkM0,1931.0,2
4,dist_O_0_x,1975.25,2
5,cos_c0,1488.75,2
6,adC3,1847.375,2
7,adC4,1930.25,2
8,mulliken_atom_0,1597.125,2
9,dist_C_4_x,1861.125,2
10,cos_f0,1458.5,2
11,adH1,1868.125,2
12,bond_angle_axis,1892.375,2
13,dist_H_4_x,1881.625,2
14,cos_c0_f0,1492.5,2
15,bond_angle_plane,1855.375,2
16,dist_O_0_y,1964.125,2
17,gap,1512.375,2
18,dist_H_3_x,1554.125,2
19,dist_C_3_x,1583.875,2
20,dist_C_4_y,1897.875,2
21,cos_f0_f1,1513.625,2
22,dist_H_2_x,1413.875,2
23,dist_C_3_y,1704.875,2
24,mu,1796.125,2
25,dist_N_0_x,1538.0,2
26,rc_A,1606.375,2
27,cos_f1,1375.75,2
28,mulliken_max,1740.25,2
29,lumo,1371.0,2
30,distance_center1,1355.25,2
31,distance_center0,1173.75,2
32,cos_center0_center1,1284.25,2
33,mulliken_atom_1,1565.25,2
34,max_molecule_atom_0_dist_xyz,1131.0,2
35,molecule_atom_index_0_dist_y_min,1925.125,2
36,dist_C_2_x,1421.875,2
37,homo,1595.0,2
38,molecule_atom_index_0_dist_x_min,1765.625,2
39,dist_H_1_x,1225.125,2
40,molecule_type_0_dist_z_min_div,1734.625,2
41,mean_molecule_atom_0_dist_xyz,1620.0,2
42,cos_center0,1319.25,2
43,molecule_type_0_dist_y_min_div,1941.375,2
44,cos_c1_f1,1385.25,2
45,inv_distPR,1452.375,2
46,molecule_type_0_dist_x_min,1514.625,2
47,inv_dist0,1387.125,2
48,roundness_metric,1650.625,2
49,sd_molecule_atom_0_dist_xyz,1304.625,2
50,vander_H.x,1003.875,2
51,z_farthest_0,1623.5,2
52,molecule_type_0_dist_x_min_div,1743.25,2
53,molecule_type_0_dist_z_min,1483.75,2
54,molecule_atom_index_0_z_1_mean_div,1922.0,2
55,molecule_atom_index_0_dist_x_min_div,1657.875,2
56,yukawa_H.x,973.25,2
57,dist_H_0_x,1102.875,2
58,molecule_atom_index_0_dist_z_min,1805.75,2
59,vander_C.y,1514.5,2
60,molecule_atom_index_0_dist_max_diff,848.125,2
61,molecule_atom_index_0_dist_max_div,903.625,2
62,molecule_type_dist_std_diff,2166.125,2
63,molecule_atom_index_0_dist_z_min_div,1657.0,2
64,type,0.0,2
0,cos_c0_c1,1674.25,3
1,adC2,1528.125,3
2,cos_c1,1813.75,3
3,linkM0,1904.0,3
4,dist_O_0_x,1959.125,3
5,cos_c0,1468.5,3
6,adC3,1844.0,3
7,adC4,1930.875,3
8,mulliken_atom_0,1595.25,3
9,dist_C_4_x,1851.875,3
10,cos_f0,1469.375,3
11,adH1,1857.0,3
12,bond_angle_axis,1932.875,3
13,dist_H_4_x,1916.625,3
14,cos_c0_f0,1513.0,3
15,bond_angle_plane,1837.375,3
16,dist_O_0_y,1881.875,3
17,gap,1486.875,3
18,dist_H_3_x,1599.0,3
19,dist_C_3_x,1604.375,3
20,dist_C_4_y,1883.25,3
21,cos_f0_f1,1493.625,3
22,dist_H_2_x,1391.125,3
23,dist_C_3_y,1704.0,3
24,mu,1801.25,3
25,dist_N_0_x,1520.75,3
26,rc_A,1607.375,3
27,cos_f1,1373.375,3
28,mulliken_max,1681.0,3
29,lumo,1369.5,3
30,distance_center1,1355.125,3
31,distance_center0,1172.5,3
32,cos_center0_center1,1247.625,3
33,mulliken_atom_1,1536.625,3
34,max_molecule_atom_0_dist_xyz,1124.875,3
35,molecule_atom_index_0_dist_y_min,1965.125,3
36,dist_C_2_x,1417.0,3
37,homo,1616.875,3
38,molecule_atom_index_0_dist_x_min,1727.25,3
39,dist_H_1_x,1199.25,3
40,molecule_type_0_dist_z_min_div,1682.5,3
41,mean_molecule_atom_0_dist_xyz,1625.75,3
42,cos_center0,1288.125,3
43,molecule_type_0_dist_y_min_div,1947.875,3
44,cos_c1_f1,1370.625,3
45,inv_distPR,1459.125,3
46,molecule_type_0_dist_x_min,1490.25,3
47,inv_dist0,1397.125,3
48,roundness_metric,1659.375,3
49,sd_molecule_atom_0_dist_xyz,1326.25,3
50,vander_H.x,1029.0,3
51,z_farthest_0,1627.625,3
52,molecule_type_0_dist_x_min_div,1681.75,3
53,molecule_type_0_dist_z_min,1491.25,3
54,molecule_atom_index_0_z_1_mean_div,1938.75,3
55,molecule_atom_index_0_dist_x_min_div,1608.0,3
56,yukawa_H.x,965.0,3
57,dist_H_0_x,1101.75,3
58,molecule_atom_index_0_dist_z_min,1808.875,3
59,vander_C.y,1532.125,3
60,molecule_atom_index_0_dist_max_diff,853.375,3
61,molecule_atom_index_0_dist_max_div,919.375,3
62,molecule_type_dist_std_diff,2125.875,3
63,molecule_atom_index_0_dist_z_min_div,1631.0,3
64,type,0.0,3
0,cos_c0_c1,1625.625,4
1,adC2,1533.25,4
2,cos_c1,1764.125,4
3,linkM0,1921.125,4
4,dist_O_0_x,1994.25,4
5,cos_c0,1467.875,4
6,adC3,1828.375,4
7,adC4,1980.125,4
8,mulliken_atom_0,1591.625,4
9,dist_C_4_x,1868.5,4
10,cos_f0,1491.625,4
11,adH1,1875.5,4
12,bond_angle_axis,1871.0,4
13,dist_H_4_x,1893.25,4
14,cos_c0_f0,1544.25,4
15,bond_angle_plane,1850.625,4
16,dist_O_0_y,1870.875,4
17,gap,1502.25,4
18,dist_H_3_x,1564.25,4
19,dist_C_3_x,1582.375,4
20,dist_C_4_y,1899.75,4
21,cos_f0_f1,1551.25,4
22,dist_H_2_x,1398.5,4
23,dist_C_3_y,1678.125,4
24,mu,1730.5,4
25,dist_N_0_x,1495.375,4
26,rc_A,1612.25,4
27,cos_f1,1366.25,4
28,mulliken_max,1678.25,4
29,lumo,1413.25,4
30,distance_center1,1351.75,4
31,distance_center0,1218.125,4
32,cos_center0_center1,1244.75,4
33,mulliken_atom_1,1528.875,4
34,max_molecule_atom_0_dist_xyz,1128.25,4
35,molecule_atom_index_0_dist_y_min,1925.375,4
36,dist_C_2_x,1451.0,4
37,homo,1603.25,4
38,molecule_atom_index_0_dist_x_min,1772.375,4
39,dist_H_1_x,1203.0,4
40,molecule_type_0_dist_z_min_div,1711.125,4
41,mean_molecule_atom_0_dist_xyz,1645.125,4
42,cos_center0,1267.25,4
43,molecule_type_0_dist_y_min_div,1912.375,4
44,cos_c1_f1,1399.75,4
45,inv_distPR,1480.0,4
46,molecule_type_0_dist_x_min,1508.25,4
47,inv_dist0,1369.75,4
48,roundness_metric,1691.75,4
49,sd_molecule_atom_0_dist_xyz,1299.125,4
50,vander_H.x,1046.75,4
51,z_farthest_0,1612.375,4
52,molecule_type_0_dist_x_min_div,1707.25,4
53,molecule_type_0_dist_z_min,1477.25,4
54,molecule_atom_index_0_z_1_mean_div,1929.125,4
55,molecule_atom_index_0_dist_x_min_div,1609.0,4
56,yukawa_H.x,1014.125,4
57,dist_H_0_x,1112.5,4
58,molecule_atom_index_0_dist_z_min,1777.25,4
59,vander_C.y,1539.625,4
60,molecule_atom_index_0_dist_max_diff,865.375,4
61,molecule_atom_index_0_dist_max_div,949.5,4
62,molecule_type_dist_std_diff,2183.125,4
63,molecule_atom_index_0_dist_z_min_div,1643.125,4
64,type,0.0,4
0,cos_c0_c1,1648.875,5
1,adC2,1532.5,5
2,cos_c1,1805.0,5
3,linkM0,1879.125,5
4,dist_O_0_x,2028.625,5
5,cos_c0,1472.625,5
6,adC3,1798.0,5
7,adC4,1968.5,5
8,mulliken_atom_0,1618.75,5
9,dist_C_4_x,1844.375,5
10,cos_f0,1460.375,5
11,adH1,1844.75,5
12,bond_angle_axis,1853.5,5
13,dist_H_4_x,1929.5,5
14,cos_c0_f0,1572.75,5
15,bond_angle_plane,1833.125,5
16,dist_O_0_y,1912.375,5
17,gap,1485.5,5
18,dist_H_3_x,1532.875,5
19,dist_C_3_x,1613.875,5
20,dist_C_4_y,1876.25,5
21,cos_f0_f1,1509.375,5
22,dist_H_2_x,1405.25,5
23,dist_C_3_y,1711.75,5
24,mu,1745.5,5
25,dist_N_0_x,1498.75,5
26,rc_A,1565.0,5
27,cos_f1,1359.875,5
28,mulliken_max,1683.0,5
29,lumo,1350.125,5
30,distance_center1,1357.25,5
31,distance_center0,1151.375,5
32,cos_center0_center1,1255.625,5
33,mulliken_atom_1,1532.5,5
34,max_molecule_atom_0_dist_xyz,1125.0,5
35,molecule_atom_index_0_dist_y_min,1941.75,5
36,dist_C_2_x,1405.75,5
37,homo,1605.125,5
38,molecule_atom_index_0_dist_x_min,1727.25,5
39,dist_H_1_x,1180.5,5
40,molecule_type_0_dist_z_min_div,1704.25,5
41,mean_molecule_atom_0_dist_xyz,1603.0,5
42,cos_center0,1320.125,5
43,molecule_type_0_dist_y_min_div,1904.75,5
44,cos_c1_f1,1394.875,5
45,inv_distPR,1477.375,5
46,molecule_type_0_dist_x_min,1533.625,5
47,inv_dist0,1386.75,5
48,roundness_metric,1679.5,5
49,sd_molecule_atom_0_dist_xyz,1289.5,5
50,vander_H.x,1004.5,5
51,z_farthest_0,1632.25,5
52,molecule_type_0_dist_x_min_div,1687.5,5
53,molecule_type_0_dist_z_min,1514.125,5
54,molecule_atom_index_0_z_1_mean_div,1912.375,5
55,molecule_atom_index_0_dist_x_min_div,1600.375,5
56,yukawa_H.x,991.625,5
57,dist_H_0_x,1116.0,5
58,molecule_atom_index_0_dist_z_min,1767.125,5
59,vander_C.y,1518.375,5
60,molecule_atom_index_0_dist_max_diff,837.125,5
61,molecule_atom_index_0_dist_max_div,928.5,5
62,molecule_type_dist_std_diff,2140.625,5
63,molecule_atom_index_0_dist_z_min_div,1613.25,5
64,type,0.0,5
0,cos_c0_c1,1688.75,6
1,adC2,1512.625,6
2,cos_c1,1793.375,6
3,linkM0,1923.875,6
4,dist_O_0_x,1978.875,6
5,cos_c0,1471.5,6
6,adC3,1822.25,6
7,adC4,1932.5,6
8,mulliken_atom_0,1598.75,6
9,dist_C_4_x,1895.0,6
10,cos_f0,1470.0,6
11,adH1,1910.375,6
12,bond_angle_axis,1861.125,6
13,dist_H_4_x,1912.75,6
14,cos_c0_f0,1534.0,6
15,bond_angle_plane,1836.375,6
16,dist_O_0_y,1926.875,6
17,gap,1500.625,6
18,dist_H_3_x,1562.5,6
19,dist_C_3_x,1586.0,6
20,dist_C_4_y,1891.125,6
21,cos_f0_f1,1543.375,6
22,dist_H_2_x,1398.75,6
23,dist_C_3_y,1695.5,6
24,mu,1771.75,6
25,dist_N_0_x,1524.5,6
26,rc_A,1622.875,6
27,cos_f1,1366.875,6
28,mulliken_max,1709.25,6
