,feature,importance,fold
0,adC3,2413.25,1
1,adC2,2268.875,1
2,gap,1922.625,1
3,mulliken_atom_0,2260.875,1
4,cos_f0,2312.5,1
5,mulliken_atom_1,2239.375,1
6,cos_c1_f1,2057.25,1
7,cos_f0_f1,2086.625,1
8,adN1,1840.375,1
9,cos_f1,2155.875,1
10,adC4,2531.625,1
11,distance_closest_1,2038.125,1
12,cos_c0_f0,1940.125,1
13,max_distance_y,2192.5,1
14,bond_angle_plane,2508.0,1
15,lumo,1725.625,1
16,linkM0,2132.625,1
17,adH1,2237.25,1
18,inv_distPE,1667.375,1
19,inv_distP,1676.125,1
20,homo,1907.5,1
21,dist_O_0_y,1811.125,1
22,dist_C_4_y,1892.5,1
23,dist_O_0_x,1786.375,1
24,dist_C_4_x,1810.625,1
25,cos_c0,1226.75,1
26,mu,1796.25,1
27,mulliken_max,1903.625,1
28,freqs_max,1707.0,1
29,dist_H_4_y,1779.75,1
30,yukawa_O.x,1055.125,1
31,rc_A,1867.625,1
32,yukawa_O.y,1091.875,1
33,dist_H_3_x,1667.5,1
34,molecule_dist_min,1629.5,1
35,cos_c0_c1,1054.875,1
36,dist_H_2_x,1621.25,1
37,dist_H_2_y,1585.25,1
38,dist_H_4_x,1782.375,1
39,bond_angle_axis,1997.125,1
40,min_molecule_atom_1_dist_xyz,1364.875,1
41,dist_H_3_y,1667.5,1
42,dist_C_3_y,1580.75,1
43,freqs_min,2012.375,1
44,dist,1299.0,1
45,linkM1,1776.875,1
46,dist_H_1_y,1521.875,1
47,dist_C_3_x,1530.375,1
48,distH0,1469.875,1
49,dist_H_1_x,1459.5,1
50,molecule_atom_index_0_dist_min_div,1300.375,1
51,dist_H_0_y,1414.375,1
52,roundness_metric,1619.375,1
53,yukawa_H.y,1721.0,1
54,molecule_atom_index_0_dist_min_diff,971.5,1
55,dist_N_0_x,1707.25,1
56,vander_O.x,799.25,1
57,molecule_dist_max,1656.125,1
58,rc_B,1621.75,1
59,cos_center0_center1,1386.125,1
60,molecule_type_dist_max,1798.5,1
61,dist_H_0_x,1451.875,1
62,vander_O.y,833.0,1
63,distance_center1,1348.75,1
64,type,0.0,1
0,adC3,2370.125,2
1,adC2,2238.375,2
